date,,2019-12-31_FY,2019-09-30_FY,2019-06-30_FY,2019-03-31_FY,2018-12-31_FY,2018-09-30_FY,2018-06-30_FY,2018-03-31_FY,2017-12-31_FY,2017-09-30_FY,2017-06-30_FY,2017-03-31_FY,2016-12-31_FY,2016-09-30_FY,2016-06-30_FY,2016-03-31_FY,2015-12-31_FY,2015-09-30_FY,2015-06-30_FY,2015-03-31_FY,2014-12-31_FY,2014-09-30_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-09-30_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2012-09-30_FY,2012-06-30_FY,2012-03-31_FY,2011-12-31_FY,2011-09-30_FY,2011-06-30_FY,2011-03-31_FY,2010-12-31_FY,2010-09-30_FY,2010-06-30_FY,2010-03-31_FY,2009-12-31_FY,2009-09-30_FY,2009-06-30_FY,2009-03-31_FY,2008-12-31_FY,2008-09-30_FY,2008-06-30_FY,2008-03-31_FY,2007-12-31_FY,2007-09-30_FY,2007-06-30_FY,2007-03-31_FY,2006-12-31_FY,2006-09-30_FY,2006-06-30_FY,2006-03-31_FY,2005-12-31_FY,2005-09-30_FY,2005-06-30_FY,2005-03-31_FY,2004-12-31_FY,2004-09-30_FY,2004-06-30_FY,2004-03-31_FY,2003-12-31_FY,2003-09-30_FY,2003-06-30_FY,2003-03-31_FY,2002-12-31_FY,2002-09-30_FY,2002-06-30_FY,2002-03-31_FY,2001-12-31_FY,2001-09-30_FY,2001-06-30_FY,2001-03-31_FY,2000-12-31_FY,2000-09-30_FY,2000-06-30_FY,2000-03-31_FY,1999-12-31_FY,1999-09-30_FY,1999-06-30_FY,1999-03-31_FY,1998-12-31_FY,1998-09-30_FY,1998-06-30_FY,1998-03-31_FY,1997-12-31_FY,1996-12-31_FY
,operatingExpenses,4876000000.0,2389000000.0,2596000000.0,2131000000.0,3102000000.0,1806000000.0,492000000.0,532000000.0,2345000000.0,991000000.0,1035000000.0,971000000.0,2020000000.0,666000000.0,825000000.0,732000000.0,1695000000.0,326000000.0,497000000.0,-249000000.0,1470000000.0,45000000.0,-460000000.0,11000000.0,15535000000.0,15535000000.0,15535000000.0,15535000000.0,1263000000.0,212000000.0,779000000.0,263000000.0,1482000000.0,199000000.0,-487000000.0,287000000.0,1212000000.0,474000000.0,457000000.0,314000000.0,1664000000.0,1270000000.0,1204000000.0,1403000000.0,1963000000.0,769000000.0,1106000000.0,1124000000.0,1498000000.0,833000000.0,846000000.0,854000000.0,933000000.0,538000000.0,442000000.0,447000000.0,661000000.0,-393000000.0,-149000000.0,218000000.0,334000000.0,183000000.0,187000000.0,170000000.0,237000000.0,190000000.0,213000000.0,223000000.0,174944617.006816,233000000.0,195000000.0,222000000.0,30997463.535974,64000000.0,41000000.0,55000000.0,405054034.011337,85000000.0,117000000.0,104000000.0,387579207.086783,61000000.0,83000000.0,71000000.0,520120620.003899,69000000.0,70000000.0,73000000.0,652357754.018169,0.0
,costAndExpenses,57604000000.0,16299000000.0,15981000000.0,13716000000.0,48621000000.0,13773000000.0,11273000000.0,10623000000.0,34733000000.0,11025000000.0,8367000000.0,5358000000.0,19738000000.0,5256000000.0,5155000000.0,4380000000.0,16128000000.0,4066000000.0,4092000000.0,2757000000.0,14588000000.0,3512000000.0,2769000000.0,3001000000.0,15383000000.0,2742000000.0,3976000000.0,4157000000.0,15172000000.0,3632000000.0,4063000000.0,3127000000.0,13303000000.0,3617000000.0,2411000000.0,2806000000.0,11776000000.0,3134000000.0,3017000000.0,2565000000.0,9231000000.0,3595000000.0,3121000000.0,2676000000.0,10022000000.0,2938000000.0,3308000000.0,3014000000.0,7189000000.0,2143000000.0,1877000000.0,1561000000.0,933000000.0,1088000000.0,1147000000.0,919000000.0,3611000000.0,412000000.0,389000000.0,765000000.0,2657000000.0,628000000.0,692000000.0,579000000.0,2172000000.0,735000000.0,665000000.0,611000000.0,2019360723.11044,633000000.0,655000000.0,639000000.0,420965549.818465,179000000.0,114000000.0,151000000.0,8628150994.99833,182000000.0,212000000.0,202000000.0,387579207.086783,136000000.0,169000000.0,173000000.0,520120620.003899,256000000.0,163000000.0,200000000.0,652357754.018169,0.0
,interestExpense,7227000000.0,0.0,0.0,0.0,4854000000.0,0.0,0.0,0.0,3608000000.0,0.0,0.0,0.0,3233000000.0,0.0,0.0,0.0,2820000000.0,0.0,0.0,0.0,2579000000.0,0.0,0.0,0.0,2553000000.0,0.0,0.0,0.0,2497000000.0,0.0,0.0,0.0,2352000000.0,0.0,0.0,0.0,1829000000.0,0.0,0.0,0.0,1784000000.0,0.0,0.0,0.0,1984000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,4876000000.0,3567000000.0,2268000000.0,1034000000.0,3102000000.0,2175000000.0,1342000000.0,670000000.0,2345000000.0,1755000000.0,1112000000.0,499000000.0,2020000000.0,1538000000.0,997000000.0,481000000.0,1695000000.0,1265000000.0,829000000.0,401000000.0,1470000000.0,1100000000.0,747000000.0,376000000.0,1455000000.0,1095000000.0,738000000.0,365000000.0,1263000000.0,911000000.0,584000000.0,297000000.0,904000000.0,676000000.0,452000000.0,221000000.0,795000000.0,580000000.0,387000000.0,179000000.0,1275000000.0,483000000.0,322000000.0,185000000.0,1330000000.0,975000000.0,642000000.0,314000000.0,1034000000.0,740000000.0,490000000.0,223000000.0,600000000.0,367000000.0,231000000.0,104000000.0,374000000.0,271000000.0,169000000.0,77000000.0,251000000.0,172000000.0,112000000.0,56000000.0,149000000.0,0.0,0.0,0.0,118962339.691674,0.0,0.0,0.0,23998036.407493,0.0,0.0,0.0,31004136.045348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,15098000000.0,5143000000.0,3211000000.0,2526000000.0,11252000000.0,3260000000.0,3345000000.0,2678000000.0,8398000000.0,3006000000.0,2189000000.0,1142000000.0,6693000000.0,2567000000.0,1815000000.0,1319000000.0,5480000000.0,2255000000.0,1660000000.0,2040000000.0,5246000000.0,2247000000.0,2651000000.0,1713000000.0,6902000000.0,2854000000.0,1910000000.0,1159000000.0,4788000000.0,1940000000.0,946000000.0,1209000000.0,3522000000.0,1482000000.0,2004000000.0,828000000.0,3007000000.0,996000000.0,746000000.0,645000000.0,4126000000.0,-268000000.0,-250000000.0,-458000000.0,4176000000.0,1253000000.0,770000000.0,510000000.0,3188000000.0,816000000.0,738000000.0,503000000.0,6564000000.0,684000000.0,489000000.0,368000000.0,2019000000.0,1215000000.0,930000000.0,286000000.0,1621000000.0,538000000.0,258000000.0,245000000.0,1347000000.0,100000000.0,63000000.0,56000000.0,1154634472.88018,58000000.0,72000000.0,64000000.0,374969314.312994,45000000.0,69000000.0,58000000.0,422056302.767589,72000000.0,70000000.0,239000000.0,593355795.985721,61000000.0,49000000.0,38000000.0,525150799.376097,33000000.0,42000000.0,323000000.0,286717726.065688,4500186043.49095
,EBITDARatio,0.222599003332056,0.28772027972028,0.189730560151264,0.166096791162546,0.198199785101548,0.219410418629694,0.251958421211208,0.21201805082733,0.20590398666209,0.244868035190616,0.231787378229564,0.190301616397267,0.274179673098193,0.40843277645187,0.303867403314917,0.252778842468379,0.275197107417265,0.446004746835443,0.33719276863701,0.464058234758872,0.285667610542366,0.482292337411462,0.567301519366574,0.394882434301521,0.331349015842535,0.634081315263275,0.371017871017871,0.234094122399515,0.256083863721453,0.416219695344347,0.213785310734463,0.299331517702402,0.221217260222348,0.335066696812118,0.505677517032551,0.242601816583651,0.214969974263655,0.28056338028169,0.220971563981043,0.212801055757176,0.341499751696739,-0.0942334739803094,-0.0980776775205963,-0.225282833251353,0.324525955859496,0.389614427860696,0.224097788125728,0.158878504672897,0.341218024189233,0.367733213159081,0.347294117647059,0.273221075502444,0.951718138321009,0.486832740213523,0.348042704626335,0.311073541842773,0.384132420091324,0.896017699115044,0.808695652173913,0.293634496919918,0.402532902905389,0.541247484909457,0.307875894988067,0.319010416666667,0.399703264094955,0.11976,0.086538,0.083958,0.377945026188352,0.083936,0.099037,0.091038,0.485751295761572,0.200893,0.377049,0.277512,0.0467952983428609,0.283465,0.248227,0.912214,0.604887983533262,0.309645,0.224771,0.180095,0.502406159433299,0.114187,0.204878,1.329218,0.245929734026214,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,10222000000.0,1576000000.0,943000000.0,1492000000.0,8150000000.0,1085000000.0,2003000000.0,2008000000.0,6053000000.0,1251000000.0,1077000000.0,643000000.0,4673000000.0,1029000000.0,818000000.0,838000000.0,3785000000.0,990000000.0,831000000.0,1639000000.0,3776000000.0,1147000000.0,1904000000.0,1337000000.0,5447000000.0,1759000000.0,1172000000.0,794000000.0,3525000000.0,1029000000.0,362000000.0,912000000.0,2618000000.0,806000000.0,1552000000.0,607000000.0,2212000000.0,416000000.0,359000000.0,466000000.0,2851000000.0,-751000000.0,-572000000.0,-643000000.0,2846000000.0,278000000.0,128000000.0,196000000.0,2154000000.0,76000000.0,248000000.0,280000000.0,5964000000.0,317000000.0,258000000.0,264000000.0,1645000000.0,944000000.0,761000000.0,209000000.0,1370000000.0,366000000.0,146000000.0,189000000.0,1198000000.0,100000000.0,63000000.0,56000000.0,1035672133.18851,58000000.0,72000000.0,64000000.0,350971277.905501,45000000.0,69000000.0,58000000.0,391052166.722241,72000000.0,70000000.0,60000000.0,593355795.985721,61000000.0,49000000.0,38000000.0,525150799.376097,33000000.0,42000000.0,43000000.0,513494464.709993,4500186043.49095
,operatingIncomeRatio,0.150709167575856,0.0881678321678322,0.0557196880170173,0.0981062598632299,0.143559211569287,0.0730246331942388,0.15087375715577,0.158973952972845,0.148408767714412,0.101906158357771,0.114040660736976,0.107148808531911,0.191430092990865,0.163723150357995,0.136949606562866,0.160597930241472,0.190076834228896,0.195806962025316,0.168799512492383,0.372838944494995,0.205619690699194,0.246190169564284,0.407447036165204,0.308206546795758,0.261497839654345,0.390802043990224,0.227661227661228,0.160371642092507,0.188532919719741,0.220768075520275,0.0818079096045198,0.225798464966576,0.164436907229445,0.182229256160977,0.391622508200858,0.177849399355406,0.158135544752645,0.117183098591549,0.106338862559242,0.153744638733091,0.235970865750704,-0.264064697609001,-0.224401726167124,-0.316281357599607,0.221168790798881,0.0864427860696517,0.0372526193247963,0.0610591900311526,0.230546933533126,0.0342496620099144,0.116705882352941,0.152091254752852,0.864723792953458,0.225622775800712,0.183629893238434,0.223161453930685,0.312975646879756,0.696165191740413,0.661739130434783,0.214579055441478,0.340203625527688,0.368209255533199,0.174224343675418,0.24609375,0.355489614243323,0.119760479041916,0.0865384615384615,0.0839580209895052,0.339005235591208,0.0839363241678727,0.0990371389270977,0.0910384068278805,0.45466321245526,0.200892857142857,0.377049180327869,0.277511961722488,0.0433577290266561,0.283464566929134,0.24822695035461,0.229007633587786,0.604887983533262,0.309644670050761,0.224770642201835,0.180094786729858,0.502406159433299,0.114186851211073,0.204878048780488,0.176954732510288,0.440445586894511,1.0
,totalOtherIncomeExpensesNet,2854000000.0,-51000000.0,-889000000.0,-32000000.0,3944000000.0,-144000000.0,-95000000.0,-342000000.0,2719000000.0,29000000.0,0.0,-265000000.0,1553000000.0,-325000000.0,-31000000.0,-35000000.0,3900000000.0,-133000000.0,-12000000.0,0.0,5335000000.0,7000000.0,-162000000.0,-35000000.0,1795000000.0,-1200000000.0,0.0,0.0,2235000000.0,0.0,0.0,0.0,3819000000.0,0.0,0.0,0.0,2952000000.0,0.0,0.0,0.0,-370000000.0,0.0,0.0,334000000.0,-313000000.0,-104000000.0,46000000.0,63000000.0,673000000.0,33000000.0,-11000000.0,-5000000.0,602000000.0,-4000000.0,-75000000.0,-20000000.0,1900000000.0,0.0,0.0,0.0,345000000.0,0.0,0.0,0.0,65000000.0,0.0,0.0,0.0,-179943034.726325,0.0,0.0,0.0,79993453.435345,0.0,0.0,0.0,251033487.829276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226776738.644305,0.0
,incomeBeforeTax,5849000000.0,1576000000.0,943000000.0,1492000000.0,7240000000.0,1085000000.0,2003000000.0,2008000000.0,5164000000.0,1251000000.0,1077000000.0,643000000.0,2993000000.0,1029000000.0,818000000.0,838000000.0,4865000000.0,990000000.0,831000000.0,1639000000.0,6532000000.0,1147000000.0,1904000000.0,1337000000.0,4689000000.0,1759000000.0,1172000000.0,794000000.0,3263000000.0,1029000000.0,362000000.0,912000000.0,4085000000.0,806000000.0,1552000000.0,607000000.0,3335000000.0,416000000.0,359000000.0,466000000.0,1995000000.0,-751000000.0,-572000000.0,-643000000.0,2331000000.0,278000000.0,128000000.0,196000000.0,943000000.0,76000000.0,248000000.0,280000000.0,1515000000.0,317000000.0,258000000.0,264000000.0,2148000000.0,944000000.0,761000000.0,209000000.0,606000000.0,366000000.0,146000000.0,189000000.0,573000000.0,100000000.0,63000000.0,56000000.0,186940819.152518,58000000.0,72000000.0,64000000.0,190984370.406663,45000000.0,69000000.0,58000000.0,360048030.676892,72000000.0,70000000.0,60000000.0,321650785.387308,61000000.0,49000000.0,38000000.0,285714228.244622,33000000.0,42000000.0,183000000.0,478528888.190077,0.0
,incomeBeforeTaxRatio,0.0862353669684192,0.0881678321678322,0.0557196880170173,0.0981062598632299,0.127529900829649,0.0730246331942388,0.15087375715577,0.158973952972845,0.126612072770068,0.101906158357771,0.114040660736976,0.107148808531911,0.122608660030314,0.163723150357995,0.136949606562866,0.160597930241472,0.244312760508211,0.195806962025316,0.168799512492383,0.372838944494995,0.35569592681333,0.246190169564284,0.407447036165204,0.308206546795758,0.225108017282765,0.390802043990224,0.227661227661228,0.160371642092507,0.174519976466813,0.220768075520275,0.0818079096045198,0.225798464966576,0.256579360592928,0.182229256160977,0.391622508200858,0.177849399355406,0.238418644552474,0.117183098591549,0.106338862559242,0.153744638733091,0.165121668597914,-0.264064697609001,-0.224401726167124,-0.316281357599607,0.18114703139571,0.0864427860696517,0.0372526193247963,0.0610591900311526,0.100931178422348,0.0342496620099144,0.116705882352941,0.152091254752852,0.219660722053067,0.225622775800712,0.183629893238434,0.223161453930685,0.408675799086758,0.696165191740413,0.661739130434783,0.214579055441478,0.150484231437795,0.368209255533199,0.174224343675418,0.24609375,0.170029673590504,0.119760479041916,0.0865384615384615,0.0839580209895052,0.0611910993909864,0.0839363241678727,0.0990371389270977,0.0910384068278805,0.247409326187708,0.200892857142857,0.377049180327869,0.277511961722488,0.0399201597104512,0.283464566929134,0.24822695035461,0.229007633587786,0.327902240596805,0.309644670050761,0.224770642201835,0.180094786729858,0.273339749798281,0.114186851211073,0.204878048780488,0.753086419753086,0.410454155769509,0.0
,incomeTaxExpense,495000000.0,-180000000.0,239000000.0,236000000.0,-248000000.0,144000000.0,339000000.0,153000000.0,613000000.0,259000000.0,119000000.0,125000000.0,-345000000.0,-992000000.0,234000000.0,202000000.0,196000000.0,145000000.0,-368000000.0,201000000.0,1323000000.0,38000000.0,346000000.0,494000000.0,845000000.0,264000000.0,370000000.0,97000000.0,516000000.0,154000000.0,-17000000.0,190000000.0,411000000.0,90000000.0,124000000.0,37000000.0,140000000.0,74000000.0,-14000000.0,57000000.0,-24000000.0,-179000000.0,-62000000.0,-40000000.0,461000000.0,107000000.0,18000000.0,-1000000.0,156000000.0,-17000000.0,95000000.0,85000000.0,345000000.0,72000000.0,123000000.0,85000000.0,486000000.0,208000000.0,151000000.0,44000000.0,239000000.0,233000000.0,-44000000.0,44000000.0,165000000.0,0.0,0.0,0.0,103967086.533148,0.0,0.0,0.0,-3999672.734582,0.0,0.0,0.0,101013475.158386,0.0,0.0,0.0,29967464.597157,0.0,0.0,0.0,16096576.330669,0.0,0.0,0.0,44955740.740741,0.0
