date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2003-03-28_FY,2002-12-31_FY,2002-03-08_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-700000000.0,-371000000.0,-317000000.0,-415000000.0,-658000000.0,-362000000.0,-470000000.0,-267000000.0,-150000000.0,-157000000.0,-157000000.0,-1951000000.0,-1951000000.0,-2538000000.0,-2389000000.0,-2832000000.0,-2812000000.0,-1538000000.0,0.0,-636000000.0,-1496000000.0,-2518600000.0,-2480800000.0,-2610400000.0,-1571600000.0,-1372500000.0,-987000000.0,-1490200000.0,-699500000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3698000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-552000000.0,-2897000000.0,-2552000000.0,-3241000000.0,-2768000000.0,-2517000000.0,-1041000000.0,-120000000.0,-245000000.0,-898000000.0,0.0,0.0,0.0,-1988000000.0,-125000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-275000000.0,-286000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-414000000.0,-237600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,2319000000.0,2996000000.0,2616000000.0,3177000000.0,2712000000.0,2707000000.0,584000000.0,0.0,0.0,0.0,0.0,10000000.0,2295000000.0,128000000.0,56000000.0,5000000.0,218000000.0,310000000.0,0.0,552000000.0,0.0,259000000.0,147000000.0,874000000.0,0.0,0.0,482000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,10000000.0,-95000000.0,-311000000.0,120000000.0,13000000.0,-22000000.0,112000000.0,110000000.0,121000000.0,-324000000.0,3727000000.0,150000000.0,533000000.0,-61000000.0,142000000.0,-156000000.0,-294000000.0,-12000000.0,0.0,-688000000.0,0.0,-148000000.0,-168000000.0,-263000000.0,-63000000.0,510000000.0,18000000.0,-1139000000.0,26000000.0,5000000.0,-148400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,50000000.0,-4560000000.0,-4563000000.0,-3930000000.0,-3238000000.0,-2493000000.0,-2256000000.0,-2022000000.0,-1957000000.0,-1799000000.0,3320000000.0,-80000000.0,2721000000.0,-2560000000.0,-250000000.0,-291000000.0,-322000000.0,271000000.0,0.0,71000000.0,0.0,-1969000000.0,-2521000000.0,-1624000000.0,-2318000000.0,-2301000000.0,-983000000.0,-478000000.0,198000000.0,-740000000.0,-537400000.0,-951700000.0,-874900000.0,-1175800000.0,132000000.0,-837900000.0,-1493300000.0,-671400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4449000000.0,-1391000000.0,-1861000000.0,-1025000000.0,-1351000000.0,-2301000000.0,-2630000000.0,-2319000000.0,-1517000000.0,-2617000000.0,-2507000000.0,-984000000.0,-919000000.0,-2947000000.0,-2191000000.0,-379000000.0,-737000000.0,-816000000.0,-1338000000.0,-1558000000.0,-176000000.0,-465000000.0,-724000000.0,-761000000.0,-593000000.0,-448000000.0,-903000000.0,-1201000000.0,-392000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,2103000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222000000.0,107000000.0,35000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-353000000.0,-1645000000.0,-1235000000.0,-1844000000.0,-2614000000.0,-1233000000.0,-312000000.0,-3000000.0,-4000000.0,0.0,-3000000.0,-2000000.0,-11000000.0,-11000000.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81000000.0,-261000000.0,-462000000.0,-250000000.0,-84000000.0,-131000000.0,0.0,0.0,0.0,247200000.0,0.0,0.0,-2841500000.0,181700000.0,526500000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253000000.0,0.0,0.0,0.0,0.0,0.0,-7000000.0,-7000000.0,-88000000.0,-88000000.0,-118000000.0,-10000000.0,-10000000.0,-10000000.0,-22000000.0,-49000000.0,-53000000.0,-27000000.0,0.0,0.0,-100000.0,-100000.0,-200000.0,-41900000.0,-45500000.0,-59000000.0
,otherFinancingActivites,-388000000.0,-91000000.0,-54000000.0,-93000000.0,-62000000.0,-50000000.0,-146000000.0,-102000000.0,-71000000.0,7000000.0,203000000.0,-26000000.0,37000000.0,82000000.0,6000000.0,269000000.0,178000000.0,228000000.0,0.0,1014000000.0,0.0,206000000.0,-113000000.0,-8000000.0,-828000000.0,-89000000.0,-426000000.0,-71000000.0,-2026000000.0,-176000000.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,12957000000.0,-1280000000.0,-1410000000.0,-195000000.0,-3213000000.0,-2495000000.0,-1596000000.0,-972000000.0,-454000000.0,-2432000000.0,-200000000.0,117000000.0,-702000000.0,-2147000000.0,782000000.0,-110000000.0,-46000000.0,-336000000.0,0.0,266000000.0,0.0,2138000000.0,1418000000.0,-877000000.0,-781000000.0,-200000000.0,-1435000000.0,-1452000000.0,-1469000000.0,-203000000.0,35000000.0,841300000.0,-84800000.0,-104400000.0,-2973200000.0,603900000.0,75800000.0,1395200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,8874000000.0,1069000000.0,208000000.0,-712000000.0,-909000000.0,1004000000.0,-1218000000.0,-1550000000.0,-1476000000.0,-1823000000.0,5027000000.0,1003000000.0,780000000.0,-2573000000.0,2071000000.0,538000000.0,-417000000.0,754000000.0,-578000000.0,-802000000.0,9000000.0,9000000.0,1369000000.0,-80000000.0,95000000.0,66000000.0,35000000.0,-306000000.0,63000000.0,0.0,0.0,227600000.0,-243800000.0,-621600000.0,-1121200000.0,2105600000.0,-490900000.0,231300000.0
,cashAtEndOfPeriod,11742000000.0,2868000000.0,1799000000.0,1591000000.0,2303000000.0,3006000000.0,2002000000.0,3220000000.0,4770000000.0,6246000000.0,8069000000.0,3042000000.0,2039000000.0,1259000000.0,3832000000.0,1761000000.0,1223000000.0,1640000000.0,886000000.0,886000000.0,1688000000.0,1688000000.0,1679000000.0,310000000.0,390000000.0,295000000.0,229000000.0,194000000.0,500000000.0,0.0,0.0,448600000.0,221200000.0,465400000.0,1086800000.0,2207600000.0,260100000.0,673300000.0
,cashAtBeginningOfPeriod,2868000000.0,1799000000.0,1591000000.0,2303000000.0,3212000000.0,2002000000.0,3220000000.0,4770000000.0,6246000000.0,8069000000.0,3042000000.0,2039000000.0,1259000000.0,3832000000.0,1761000000.0,1223000000.0,1640000000.0,886000000.0,1688000000.0,1688000000.0,1679000000.0,1679000000.0,310000000.0,390000000.0,295000000.0,229000000.0,194000000.0,500000000.0,437000000.0,522000000.0,449000000.0,221000000.0,465000000.0,1087000000.0,2208000000.0,102000000.0,751000000.0,442000000.0
,operatingCashFlow,-4133000000.0,6909000000.0,6181000000.0,3413000000.0,5542000000.0,5992000000.0,2634000000.0,1444000000.0,935000000.0,2408000000.0,1907000000.0,966000000.0,-1239000000.0,2134000000.0,1562000000.0,1079000000.0,99000000.0,1001000000.0,0.0,-1139000000.0,0.0,-160000000.0,2472000000.0,2421000000.0,3194000000.0,2567000000.0,2453000000.0,1624000000.0,1334000000.0,858000000.0,575300000.0,338000000.0,715800000.0,658500000.0,1719900000.0,2339500000.0,926600000.0,-492400000.0
,capitalExpenditure,-1727000000.0,-4528000000.0,-4177000000.0,-3998000000.0,-3223000000.0,-2747000000.0,-2005000000.0,-2164000000.0,-2016000000.0,-700000000.0,-371000000.0,-317000000.0,-475000000.0,-658000000.0,-362000000.0,-470000000.0,-267000000.0,-150000000.0,-157000000.0,-157000000.0,-1951000000.0,-1951000000.0,-2538000000.0,-2389000000.0,-2832000000.0,-2812000000.0,-1538000000.0,0.0,-636000000.0,-1496000000.0,-2518600000.0,-2480800000.0,-2610400000.0,-1571600000.0,-1372500000.0,-987000000.0,-1490200000.0,-699500000.0
,freeCashFlow,-5860000000.0,2381000000.0,2004000000.0,-585000000.0,2319000000.0,3245000000.0,629000000.0,-720000000.0,-1081000000.0,1708000000.0,1536000000.0,649000000.0,-1714000000.0,1476000000.0,1200000000.0,609000000.0,-168000000.0,851000000.0,-157000000.0,-1296000000.0,-1951000000.0,-2111000000.0,-66000000.0,32000000.0,362000000.0,-245000000.0,915000000.0,1624000000.0,698000000.0,-638000000.0,-1943300000.0,-2142800000.0,-1894600000.0,-913100000.0,347400000.0,1352500000.0,-563600000.0,-1191900000.0
