date,,2021-01-03_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2017-01-01_FY,2016-01-03_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2012-01-01_FY,2011-01-02_FY,2010-03-12_FY,2010-01-03_FY,2009-02-23_FY,2008-12-28_FY,2008-02-27_FY,2007-12-30_FY,2007-03-07_FY,2006-12-31_FY,2006-01-01_FY,2005-01-02_FY,2004-12-31_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,2000-01-02_FY,1999-01-03_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1995-01-01_FY,1994-01-02_FY,1993-01-03_FY,1991-12-29_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,investmentsInPropertyPlantAndEquipment,0.0,-74647000.0,-54857000.0,0.0,-28071000.0,-27188000.0,-38922000.0,-91851000.0,-42428000.0,-38100000.0,-31700000.0,0.0,-8800000.0,0.0,-29300000.0,0.0,-40600000.0,0.0,-34036000.0,-19400000.0,-15800000.0,-15783000.0,-16200000.0,-14000000.0,-30000000.0,-30495000.0,-37300000.0,-45200000.0,-38700000.0,-36400000.0,-42100000.0,-21300000.0,-20600000.0,-14500000.0,-15400000.0,-29100000.0,-29600000.0,-21300000.0,-13400000.0,-6800000.0,-9100000.0
,acquisitionsNet,0.0,0.0,-400697000.0,0.0,0.0,0.0,0.0,0.0,32000000.0,32000000.0,0.0,0.0,0.0,0.0,0.0,0.0,61000000.0,61000000.0,29000000.0,29000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-25154000.0,-14485000.0,0.0,-18496000.0,-13306000.0,-7669000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,25579000.0,14354000.0,-614000.0,20138000.0,14037000.0,10084000.0,26098000.0,50263000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21476000.0,0.0,0.0,-3393000.0,0.0,0.0,0.0,-10876000.0,0.0,0.0,0.0,0.0,-30100000.0,0.0,0.0,0.0,0.0,-4100000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-61689000.0,-74222000.0,-455685000.0,-31088000.0,-26429000.0,-26457000.0,-36507000.0,-65800000.0,7800000.0,-39600000.0,-37000000.0,-15845000.0,-7400000.0,-15845000.0,-33500000.0,-19775000.0,6200000.0,-19775000.0,-12560000.0,-30600000.0,-7800000.0,-7773000.0,-7500000.0,-14400000.0,-44700000.0,-71243000.0,-51800000.0,-133200000.0,-91200000.0,-78000000.0,-72200000.0,-26400000.0,-42500000.0,-18000000.0,-17400000.0,-33200000.0,-29600000.0,-174500000.0,-43800000.0,-86200000.0,-1400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-660000.0,-24028000.0,-14162000.0,-72014000.0,-12500000.0,-2500000.0,-247500000.0,-35610000.0,-11477000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,93000.0,60000.0,294000.0,0.0,0.0,359000.0,408000.0,1881000.0,1496000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86413000.0,0.0,0.0,4442000.0,0.0,0.0,0.0,496000.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,600000.0,400000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-25094000.0,-14191000.0,-91576000.0,-18496000.0,-12947000.0,-7261000.0,1900000.0,1500000.0,2700000.0,3100000.0,0.0,500000.0,0.0,1500000.0,0.0,4600000.0,0.0,0.0,3000000.0,4400000.0,0.0,200000.0,1300000.0,-1900000.0,-6842000.0,-9600000.0,68100000.0,6400000.0,2900000.0,0.0,700000.0,1900000.0,300000.0,0.0,0.0,0.0,200000.0,64000000.0,0.0,0.0
,dividendsPaid,-5565000.0,-15358000.0,-15471000.0,-15487000.0,-14285000.0,-11885000.0,-9297000.0,-7300000.0,-5900000.0,-5200000.0,-2700000.0,0.0,-600000.0,0.0,-7600000.0,0.0,-4900000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2300000.0,-7600000.0,-9243000.0,-9500000.0,-8500000.0,-6400000.0,-6600000.0,-6100000.0,-6100000.0,-5100000.0,-4100000.0,-4100000.0,-4100000.0,-3600000.0,-2600000.0,-2100000.0,-1400000.0,-1000000.0
,otherFinancingActivites,0.0,-2197000.0,405350000.0,-2906000.0,69825000.0,-45267000.0,237846000.0,82510000.0,90533000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-777000.0,0.0,0.0,-4237000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-42715000.0,-66677000.0,361526000.0,-156983000.0,19649000.0,-73614000.0,-26212000.0,-16000000.0,-15900000.0,-3600000.0,-58400000.0,-5528000.0,-5300000.0,-5528000.0,-28500000.0,478000.0,-101700000.0,478000.0,39002000.0,1000000.0,15200000.0,15205000.0,-2900000.0,-10200000.0,20400000.0,4711000.0,-26700000.0,60400000.0,18300000.0,22900000.0,0.0,-7600000.0,900000.0,-24000000.0,-14700000.0,0.0,-3700000.0,144900000.0,31700000.0,72300000.0,4300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,-557000.0,-3656000.0,6083000.0,-1302000.0,-5579000.0,-1648000.0,-2500000.0,1100000.0,200000.0,1900000.0,0.0,1800000.0,0.0,-3800000.0,0.0,3000000.0,0.0,2392000.0,-2100000.0,2300000.0,2301000.0,1600000.0,900000.0,-1100000.0,413000.0,100000.0,600000.0,-400000.0,100000.0,0.0,400000.0,-200000.0,-400000.0,-200000.0,1600000.0,-600000.0,600000.0,300000.0,0.0,200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,312000.0,-6048000.0,-78635000.0,89976000.0,20800000.0,-17987000.0,-17700000.0,39900000.0,-18600000.0,-46100000.0,-412000.0,43600000.0,-412000.0,-10600000.0,1541000.0,-26800000.0,572000.0,58908000.0,30100000.0,19300000.0,19274000.0,-20700000.0,22800000.0,-7100000.0,5313000.0,-7400000.0,-300000.0,1500000.0,0.0,0.0,-300000.0,-1200000.0,-700000.0,-1200000.0,0.0,0.0,6700000.0,-5800000.0,3700000.0,9200000.0
,cashAtEndOfPeriod,0.0,81301000.0,80989000.0,87037000.0,165672000.0,75696000.0,54913000.0,72800000.0,90500000.0,50600000.0,69300000.0,782000.0,115400000.0,782000.0,71800000.0,-3465000.0,82400000.0,572000.0,110220000.0,52300000.0,22200000.0,22164000.0,13400000.0,23600000.0,800000.0,7861000.0,2500000.0,9900000.0,10300000.0,8800000.0,0.0,8400000.0,9000000.0,9700000.0,8900000.0,0.0,0.0,14100000.0,7300000.0,13200000.0,9500000.0
,cashAtBeginningOfPeriod,0.0,80989000.0,87037000.0,165672000.0,75696000.0,54896000.0,72900000.0,90500000.0,50600000.0,69200000.0,115400000.0,1194000.0,71800000.0,1194000.0,82400000.0,-5006000.0,109200000.0,0.0,51312000.0,22200000.0,2900000.0,2890000.0,34100000.0,800000.0,7900000.0,2548000.0,9900000.0,10200000.0,8800000.0,8800000.0,4400000.0,8700000.0,10200000.0,10400000.0,10100000.0,18700000.0,14000000.0,7400000.0,13100000.0,9500000.0,300000.0
,operatingCashFlow,14666000.0,141768000.0,91767000.0,103353000.0,98058000.0,126450000.0,46380000.0,66600000.0,46900000.0,24400000.0,47400000.0,20961000.0,54500000.0,20961000.0,55100000.0,21076000.0,65700000.0,20515000.0,30074000.0,61900000.0,9500000.0,9541000.0,-11800000.0,46500000.0,18300000.0,71432000.0,71100000.0,71900000.0,74700000.0,55000000.0,76600000.0,33400000.0,40600000.0,41700000.0,31100000.0,23000000.0,38600000.0,35700000.0,6000000.0,17600000.0,6100000.0
,capitalExpenditure,0.0,-74647000.0,-54857000.0,-30474000.0,-28071000.0,-27188000.0,-38922000.0,-91851000.0,-42428000.0,-38100000.0,-31700000.0,0.0,-8800000.0,0.0,-29300000.0,0.0,-40600000.0,0.0,-34036000.0,-19400000.0,-15800000.0,-15783000.0,-16200000.0,-14000000.0,-30000000.0,-30495000.0,-37300000.0,-45200000.0,-38700000.0,-36400000.0,-42100000.0,-21300000.0,-20600000.0,-14500000.0,-15400000.0,-29100000.0,-29600000.0,-21300000.0,-13400000.0,-6800000.0,-9100000.0
,freeCashFlow,14666000.0,67121000.0,36910000.0,72879000.0,69987000.0,99262000.0,7458000.0,-25300000.0,4500000.0,-13700000.0,15700000.0,20961000.0,45700000.0,20961000.0,25800000.0,21076000.0,25100000.0,20515000.0,-3962000.0,42500000.0,-6300000.0,-6242000.0,-28000000.0,32500000.0,-11700000.0,40937000.0,33800000.0,26700000.0,36000000.0,18600000.0,34500000.0,12100000.0,20000000.0,27200000.0,15700000.0,-6100000.0,9000000.0,14400000.0,-7400000.0,10800000.0,-3000000.0
