date,,2021-01-02_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2017-01-07_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-01-01_FY,2010-03-01_FY,2010-01-02_FY,2008-12-27_FY,2007-12-29_FY,2007-02-28_FY,2006-12-30_FY,2006-03-13_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,295800000.0,351100000.0,347000000.0,330100000.0,320000000.0,320600000.0,252800000.0,121500000.0,208000000.0,312800000.0,255713000.0,237700000.0,159520000.0,159500000.0,230400000.0,206100000.0,194017000.0,194000000.0,134572000.0,134572000.0,55162000.0,47226000.0,46780000.0,56060000.0,71608000.0,72400000.0,81100000.0,74400000.0,51100000.0,53600000.0,39000000.0,25100000.0,16900000.0,9900000.0,17800000.0,19900000.0,20000000.0,14400000.0,11400000.0,7100000.0
,operatingIncomeRatio,0.0862057103543172,0.108431130327363,0.0951832345841562,0.0982352766122072,0.0992555831265509,0.0994262676383935,0.0720289483431632,0.0373031224095054,0.0671899731886165,0.0987716694559348,0.0910551174148925,0.1062109025916,0.0873471001386975,0.0873350490061874,0.102573234796545,0.114341192787795,0.119797226998941,0.11979005866008,0.0941914612303292,0.0941914612303292,0.0729118889918407,0.0762819456693448,0.0772850128533006,0.0844822935300066,0.119705183691824,0.132941608520015,0.149218031278749,0.152772073921971,0.181527531083481,0.181142277796553,0.156983930778739,0.107776261937244,0.0765765765765766,0.0584756898817346,0.102259215219976,0.112903225806452,0.122311827956989,0.13102119460501,0.131882202304738,0.115523465703971
,totalOtherIncomeExpensesNet,45200000.0,47300000.0,54800000.0,52900000.0,54000000.0,54200000.0,55900000.0,31200000.0,37500000.0,42900000.0,29376000.0,17000000.0,21565000.0,21500000.0,26200000.0,21200000.0,19175000.0,19200000.0,21648000.0,21648000.0,6604000.0,6383000.0,9250000.0,22018000.0,15058000.0,9100000.0,11100000.0,10000000.0,-700000.0,500000.0,900000.0,1400000.0,1600000.0,1000000.0,600000.0,1000000.0,1800000.0,800000.0,1100000.0,700000.0
,incomeBeforeTax,250600000.0,303800000.0,292200000.0,277200000.0,266000000.0,266400000.0,196900000.0,90300000.0,170500000.0,269900000.0,226337000.0,220700000.0,137955000.0,138000000.0,204200000.0,184900000.0,174842000.0,174800000.0,112924000.0,112924000.0,48558000.0,40843000.0,37530000.0,34042000.0,56550000.0,63300000.0,70000000.0,64400000.0,51800000.0,53100000.0,38100000.0,23700000.0,15300000.0,8900000.0,17200000.0,18900000.0,18200000.0,13600000.0,10300000.0,6400000.0
,incomeBeforeTaxRatio,0.0862057103543172,0.0938233477455219,0.0801514154048716,0.0824926345861977,0.0825062034739454,0.0826174600713289,0.0561016611106362,0.0277240490006447,0.0550763962916303,0.0852252991884808,0.0805948157126721,0.0986148346738159,0.0755389242705241,0.075562612933253,0.0909090909090909,0.102579750346741,0.107957481885344,0.107934547699907,0.0790392991705087,0.0790392991705087,0.0641828705570102,0.0659717847578251,0.0620031323724748,0.0513012172020779,0.09453312671451,0.116232096951891,0.128794848206072,0.13223819301848,0.184014209591474,0.179452517742481,0.156983930778739,0.107776261937244,0.0765765765765766,0.0584756898817346,0.102259215219976,0.112903225806452,0.122311827956989,0.13102119460501,0.131882202304738,0.115523465703971
,incomeTaxExpense,56800000.0,61200000.0,56400000.0,59100000.0,57000000.0,57100000.0,48400000.0,54200000.0,44500000.0,69600000.0,68317000.0,66045000.0,39276000.0,39300000.0,72225000.0,63683000.0,62051000.0,62100000.0,39829000.0,39829000.0,15728000.0,14792000.0,13012000.0,14452000.0,22779000.0,25200000.0,27000000.0,25500000.0,19500000.0,20300000.0,15000000.0,9300000.0,5800000.0,3400000.0,6500000.0,7400000.0,7000000.0,6000000.0,4900000.0,3000000.0
,netIncome,189300000.0,238900000.0,231200000.0,213000000.0,209000000.0,203400000.0,143300000.0,31000000.0,120000000.0,195600000.0,152290000.0,149400000.0,98679000.0,95000000.0,128600000.0,118300000.0,109806000.0,109800000.0,69557000.0,69557000.0,30434000.0,25206000.0,24518000.0,19590000.0,33771000.0,38100000.0,43000000.0,38900000.0,32300000.0,32800000.0,23100000.0,14300000.0,9500000.0,5500000.0,10700000.0,11500000.0,11200000.0,7600000.0,5400000.0,3400000.0
,netIncomeRatio,0.0651186790505676,0.0737801111797406,0.0634189159534782,0.0633871975716454,0.0648263027295285,0.0630795472166227,0.0408297005442061,0.00951766909213718,0.0387634460703557,0.0617638700306293,0.0542279189212671,0.0667560321715818,0.0540328767213298,0.0520177407873843,0.0572522482414745,0.0656310679611651,0.0678005242213091,0.0677987033034887,0.0486852797669501,0.0486852797669501,0.0402269756277452,0.0407140711163661,0.0405060697977175,0.0295220858054375,0.0564540799695087,0.0699596033786265,0.0791168353265869,0.079876796714579,0.114742451154529,0.110848259547144,0.0951792336217552,0.0650295588904047,0.0475475475475475,0.0361366622864652,0.0636147443519619,0.0686977299880526,0.0752688172043011,0.0732177263969171,0.0691421254801537,0.0613718411552347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,4.66,5.66114,5.26651,4.74388,4.55,4.55,3.17738,0.68433,2.64317,4.64608,3.84,3.84062,2.86037,2.63158,3.86186,3.48968,3.56,3.27761,2.34,2.34,1.24,1.01,1.01369178502408,0.94,1.60933660172596,1.82,2.06,1.87,1.56668158166934,1.6,1.13,0.69,0.47,0.28,0.53,0.58,0.62,0.43,0.35,0.24
,EPSDiluted,4.64,5.66114,5.26651,4.74388,4.55,4.52,3.17738,0.68433,2.64317,4.64608,3.79,3.84062,2.86037,2.63158,3.86186,3.48968,3.56,3.27761,2.34,2.25,1.22,1.0,1.00854930437535,0.93,1.60843474975387,1.8,2.02,1.83,1.53068272477637,1.6,1.11,0.68,0.47,0.28,0.53,0.58,0.62,0.43,0.35,0.24
,weightedAverageShsOut,40600000.0,42000000.0,43000000.0,44000000.0,44000000.0,44700000.0,44000000.0,45000000.0,45000000.0,41000000.0,39687559.0,38236168.0,34498674.0,36100000.0,31343330.0,31252145.0,30844382.0,33500000.0,29725213.0,29675206.0,24602868.0,25029942.0,24186839.0,20868896.0,20984423.0,20959182.0,20893182.0,20805844.0,20616825.0,20508890.0,20442478.0,20724638.0,20212766.0,19642857.0,20188679.0,19827586.0,18064516.0,17674419.0,15428571.0,14166667.0
,weightedAverageShsOutDil,40800000.0,42000000.0,43000000.0,44000000.0,44000000.0,45000000.0,44000000.0,45000000.0,45000000.0,41000000.0,40144481.0,38236168.0,34498674.0,36100000.0,31343330.0,31252145.0,30844382.0,33500000.0,29725213.0,30878981.0,24904287.0,25246088.0,24310165.0,21124204.0,20996189.0,21169580.0,21278497.0,21256831.0,21101695.0,20508890.0,20810811.0,21029412.0,20212766.0,19642857.0,20188679.0,19827586.0,18064516.0,17674419.0,15428571.0,14166667.0
