date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2018-03-14_FY,2017-12-31_FY,2017-03-08_FY,2016-12-31_FY,2016-03-09_FY,2015-12-31_FY,2015-03-11_FY,2014-12-31_FY,2014-03-12_FY,2013-12-31_FY,2013-03-13_FY,2012-12-31_FY,2012-03-14_FY,2011-12-31_FY,2011-03-15_FY,2010-12-31_FY,2010-03-17_FY,2009-12-31_FY,2009-03-17_FY,2008-12-31_FY,2007-12-31_FY,2007-03-14_FY,2006-12-31_FY,2005-12-31_FY,2005-03-11_FY,2004-12-31_FY,2004-04-14_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,operatingExpenses,13285000000.0,6215000000.0,13951000000.0,13951000000.0,13562000000.0,13562000000.0,12517000000.0,12517000000.0,13187000000.0,13187000000.0,14866000000.0,14866000000.0,15637000000.0,15637000000.0,15489000000.0,15489000000.0,15311000000.0,15311000000.0,13762000000.0,13762000000.0,12339000000.0,12339000000.0,9534968431.0,13185000000.0,13185000000.0,3641658900.0,12081000000.0,12081000000.0,3363330933.0,-11630000000.0,3322169264.0,3146049733.0,4570200573.0,3779244151.0,3024016204.0,6420897833.0,6808005718.0,5905029464.0,5104035997.0,4305933511.0,5194069367.0,3584996821.0,5180956783.0,4375014499.0,4011001737.0,3804104032.0,3519948018.0,3124568430.0,2849713407.0
,costAndExpenses,17680000000.0,18118000000.0,18027000000.0,0.0,17391000000.0,0.0,16439000000.0,0.0,16383000000.0,0.0,16191000000.0,0.0,15691000000.0,0.0,15480000000.0,0.0,15538000000.0,-9448000000.0,14173000000.0,-10019000000.0,14017000000.0,-10406000000.0,13963088878.0,14090773661.0,-10384000000.0,14026095060.0,15001744389.0,-11629000000.0,14992800575.0,-11630000000.0,14951693932.0,15259678943.0,18814071952.0,15071985603.0,11544994213.0,24654024768.0,28706075768.0,24481978895.0,21568039269.0,18860008416.0,18660047657.0,17558041958.0,15460942917.0,14106020183.0,13020034742.0,12847053209.0,12076933073.0,11309901947.0,10763176290.0
,interestExpense,1156000000.0,1195000000.0,1069000000.0,955000000.0,1027000000.0,888000000.0,969000000.0,909000000.0,1019000000.0,929000000.0,1030000000.0,931000000.0,1081000000.0,865000000.0,1823000000.0,0.0,2196000000.0,670000000.0,670000000.0,723000000.0,723000000.0,791000000.0,0.0,0.0,952000000.0,0.0,0.0,1005000000.0,0.0,1093000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,4404000000.0,4398000000.0,4014000000.0,3850000000.0,3850000000.0,3508000000.0,3508000000.0,3420000000.0,3420000000.0,3452000000.0,3452000000.0,3380000000.0,3380000000.0,3388000000.0,3388000000.0,3261000000.0,3261000000.0,3292000000.0,3292000000.0,3371000000.0,3371000000.0,3269000000.0,3268576979.0,3198927401.0,3129000000.0,3129077353.0,3114315618.0,3108000000.0,3107751380.0,3147000000.0,3146979261.0,3146049732.0,4691181152.0,3779244151.0,3001012731.0,3500928793.0,3897069335.0,3434013978.0,2970002727.0,2699957918.0,2471008737.0,2328035601.0,2218973885.0,2017979353.0,1812970469.0,1601049869.0,1529954516.0,1411683469.0,1312176709.0
,EBITDA,9607000000.0,10244000000.0,9455000000.0,3850000000.0,9178000000.0,3508000000.0,8788000000.0,3420000000.0,8551000000.0,3452000000.0,8303000000.0,3380000000.0,8089000000.0,7266000000.0,7883000000.0,3261000000.0,7220000000.0,6964000000.0,7188000000.0,6562000000.0,7089000000.0,6133000000.0,7003399709.0,6973880227.0,6461000000.0,6816169618.0,7217118269.0,6084000000.0,7307415408.0,7199000000.0,7251062735.0,7655020458.0,7588347659.0,6801139772.0,5669994212.0,6300928793.0,8381987134.0,7119090037.0,6025906736.0,5509889185.0,3637940164.0,5553973300.0,6642015253.0,6285001740.0,5473885351.0,4007038893.0,4102014296.0,4034249413.0,3806374947.0
,EBITDARatio,0.419831315823974,0.42747454515106,0.402889040395432,0.169461684052995,0.403979048373608,0.161517565265436,0.404622680602238,0.158966254531933,0.397462117690806,0.164052846687577,0.394591768843266,0.165686274509804,0.396519607843137,0.363754693366708,0.394643304130163,0.0,0.370313381545879,0.38541147822237,0.397808401129006,0.370002819283902,0.399718071609811,0.346536331788903,0.395718990134082,0.390349658161091,0.364760345508948,0.384807629080951,0.377769661530798,0.316990569478456,0.380743982555412,0.377781276238455,0.380517812551531,0.387230315988863,0.349512427553592,0.375880646490531,0.398902765423569,0.229508381603278,0.252538000017383,0.252745274528213,0.244717373979,0.254264168041155,0.183484339625685,0.267223765210405,0.334038448119805,0.342077351426939,0.328151902282851,0.262704241671262,0.280020226452629,0.289557416859795,0.287113782518614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,5203000000.0,5846000000.0,5441000000.0,0.0,5328000000.0,0.0,5280000000.0,0.0,5131000000.0,0.0,4851000000.0,0.0,4709000000.0,3878000000.0,4495000000.0,0.0,3959000000.0,3672000000.0,3896000000.0,3191000000.0,3718000000.0,2864000000.0,3734822730.0,3774952826.0,3332000000.0,3687092265.0,4102802651.0,2976000000.0,4199664028.0,4052000000.0,4104083474.0,4508970726.0,2897166507.0,3021895621.0,2668981481.0,2800000000.0,4484917799.0,3685076059.0,3055904009.0,2809931267.0,1166931427.0,3225937699.0,4423041368.0,4267022387.0,3660914882.0,2405989024.0,2572059780.0,2622565944.0,2494198238.0
,operatingIncomeRatio,0.227374033125027,0.243949257219162,0.231847622294188,0.0,0.234517364320613,0.0,0.243105115336802,0.0,0.238495863158873,0.0,0.230538922155689,0.0,0.230833333333333,0.194142678347935,0.225031289111389,0.0,0.203056880545725,0.203220986219492,0.215617909126128,0.179926698618551,0.20964195094446,0.161826195050288,0.211031833174698,0.211295791903388,0.188110427369728,0.208155212122446,0.214755295815692,0.155056531026937,0.218818380800533,0.212636439966415,0.215372135523989,0.22808693570359,0.133440868077198,0.167012018239166,0.187771636764978,0.101988689223579,0.135124541841348,0.130829299158827,0.124102950307324,0.129669547220954,0.0588557350091569,0.155212704796577,0.222442409157235,0.232243645587983,0.219466814810878,0.157738304742554,0.175579291068687,0.188234127974851,0.188136665576745
,totalOtherIncomeExpensesNet,-782000000.0,-265000000.0,-404000000.0,-102000000.0,-292000000.0,21000000.0,-114000000.0,-12000000.0,-458000000.0,42000000.0,-174000000.0,-6000000.0,-412000000.0,270000000.0,1200000000.0,0.0,1161000000.0,124000000.0,-107000000.0,-18000000.0,-559000000.0,-253000000.0,-1123118018.0,2059787466.0,-176000000.0,-602283318.0,-46517037.0,411000000.0,-1100311975.0,213000000.0,-14169780.0,810513063.0,2798471824.0,1004799040.0,4839988426.0,4485913313.0,364974982.0,393038235.0,237932915.0,691962407.0,187979878.0,485950413.0,288999307.0,17051386.0,173016792.0,70031019.0,346068876.0,198867560.0,231511254.0
,incomeBeforeTax,3265000000.0,4386000000.0,3968000000.0,0.0,4009000000.0,0.0,4197000000.0,0.0,3654000000.0,0.0,3647000000.0,0.0,3216000000.0,3878000000.0,3878000000.0,0.0,3294000000.0,0.0,3126000000.0,0.0,2450000000.0,0.0,943419136.0,4974674744.0,0.0,2204100652.0,3074776137.0,0.0,2381809455.0,0.0,2980806390.0,3490714510.0,3974848775.0,2293041391.0,6422019676.0,6145975232.0,2935954253.0,2269973962.0,1601036269.0,1946977135.0,548980672.0,2193897012.0,2131962098.0,1774968101.0,1933989577.0,1533047005.0,1952956465.0,1955531004.0,1898084720.0
,incomeBeforeTaxRatio,0.142682340602194,0.183024536805208,0.169081302198739,0.0,0.176460231524275,0.0,0.193240941111469,0.0,0.169842892999907,0.0,0.17332002661344,0.0,0.157647058823529,0.194142678347935,0.194142678347935,0.0,0.168949069087552,0.0,0.173003486634567,0.0,0.138144911192557,0.0,0.0533068057348385,0.278447940396928,0.0,0.124432752364628,0.160944728527832,0.0,0.124101281636737,0.0,0.156425336342429,0.176578297883134,0.183077938299383,0.126730211313561,0.451810233410689,0.223864270682951,0.0884563532897388,0.080589680593414,0.0650194914325696,0.089846910673563,0.0276885686757504,0.105557118906297,0.10722006552823,0.0966071947113548,0.115940016641345,0.100507622124277,0.13331677369206,0.140357833177798,0.143171992010272
,incomeTaxExpense,792000000.0,1133000000.0,995000000.0,0.0,1039000000.0,0.0,1110000000.0,0.0,924000000.0,0.0,929000000.0,0.0,828000000.0,0.0,825000000.0,0.0,720000000.0,0.0,550000000.0,0.0,368000000.0,0.0,468674114.0,724997517.0,0.0,85041938.0,893127108.0,0.0,710343173.0,0.0,1136158702.0,1592697513.0,1555237186.0,1406718656.0,962962963.0,1547987616.0,1521944246.0,1117993696.0,819061903.0,768971805.0,389992057.0,803941513.0,802981280.0,628001392.0,732947307.0,646027201.0,866016894.0,931915481.0,847336782.0
,netIncome,2634000000.0,3191000000.0,2929000000.0,0.0,2914000000.0,0.0,3031000000.0,0.0,2678000000.0,0.0,2500000000.0,0.0,2106000000.0,3878000000.0,2763000000.0,0.0,2340000000.0,0.0,2277000000.0,0.0,1738000000.0,0.0,943419136.0,4057006654.0,0.0,2007222740.0,1961856030.0,0.0,1593472522.0,0.0,1815019967.0,2475605918.0,523718561.0,4862027594.0,5459056713.0,4597987616.0,-1535954253.0,1151980266.0,781974366.0,1178005330.0,-656076251.0,1389955499.0,1328980818.0,1146966709.0,761088593.0,887019804.0,1086939571.0,1023615523.0,1050747938.0
,netIncomeRatio,0.115107284883975,0.133158070438992,0.124808249531277,0.0,0.128262687618293,0.0,0.139555228141259,0.0,0.12447708468904,0.0,0.11880999904952,0.0,0.103235294117647,0.194142678347935,0.138322903629537,0.0,0.120018464379135,0.0,0.126016935082185,0.0,0.0979983084296589,0.0,0.0533068057348385,0.227083217519986,0.0,0.113317987506802,0.102690528380096,0.0,0.0830259455969465,0.0,0.0952477523393254,0.125228883077537,0.0241220030809851,0.268711147918388,0.384062617702687,0.167479546436461,-0.0462762360487791,0.0408981438734477,0.031756666963193,0.0543612648319525,-0.0330900763157329,0.0668762923144926,0.0668367465469459,0.0624266070592357,0.0456262149431212,0.0581536319411042,0.0741989283432139,0.0734697923589853,0.0792576189034101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,2.91275019351985,3.54240674955595,3.25951480080125,3.12,3.12,3.33,3.48751582096422,2.98,3.16137409987015,2.98,2.98,2.55,2.55,3.39,3.56838434715227,0.0,3.03344568317345,-0.112,3.0,-0.107,2.11,-0.124,1.02,4.88,-0.07,2.25,2.04,-0.07,1.65,-0.064,1.9,2.74,0.57,7.43495,8.37417,7.01925,-2.53291,1.69961,1.11835,1.75328,-1.21804,2.11995,2.01109,1.75254,1.21605,1.54792,1.96496,1.92022,2.12516
,EPSDiluted,2.9124281291464,3.54004881295762,3.25842696629213,3.12,3.11,3.33,3.48270711248995,2.98,3.15690203937286,2.98,2.97,2.55,2.54,3.39,3.56700232378002,0.0,3.03187354236849,-0.112,2.9980250164582,-0.107,2.11,-0.124,1.01,4.87,-0.07,2.25,2.04,-0.07,1.65,-0.064,1.89,2.71,0.56,7.43495,8.37417,7.01925,-2.53291,1.69961,1.11835,1.75328,-1.21804,2.11995,2.01109,1.75254,1.21605,1.54792,1.92592,1.89259,2.06923
,weightedAverageShsOut,904300000.0,900800000.0,898600000.0,894300000.0,894300000.0,869100000.0,869100000.0,847100000.0,847100000.0,793700000.0,793700000.0,775800000.0,775800000.0,1143952802.0,774300000.0,1143750000.0,771400000.0,759000000.0,759000000.0,772900000.0,772900000.0,805800000.0,805800000.0,804800000.0,861400000.0,861400000.0,926800000.0,924600000.0,924600000.0,-48280000000.0,920300000.0,847900000.0,807900000.0,670000000.0,640783516.0,641799845.0,635635355.0,633120924.0,621435395.0,619402956.0,615797667.0,610852968.0,614112656.0,605944384.0,595490250.0,569802746.0,536362635.0,513581648.0,474762980.0
,weightedAverageShsOutDil,904400000.0,901400000.0,898900000.0,894300000.0,894900000.0,869100000.0,870300000.0,847100000.0,848300000.0,793700000.0,794600000.0,775800000.0,776400000.0,1143952802.0,774600000.0,1143750000.0,771800000.0,759000000.0,759500000.0,772900000.0,772900000.0,805800000.0,811458028.0,806141933.0,861400000.0,861400000.0,926800000.0,924600000.0,924600000.0,-48280000000.0,926249670.0,892020252.0,821508164.0,670000000.0,640783516.0,641799845.0,635635355.0,633120924.0,621435395.0,619402956.0,615797667.0,610852968.0,614112656.0,605944384.0,595490250.0,569802746.0,547235152.0,521079448.0,487595528.0
