date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-09-30_FY,2015-06-30_FY,2015-03-31_FY,2014-12-31_FY,2014-09-30_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY,1988-06-30_FY,1987-06-30_FY
,operatingExpenses,0.0,357000000.0,308000000.0,356000000.0,338000000.0,479000000.0,479000000.0,479000000.0,479000000.0,380000000.0,380000000.0,380000000.0,380000000.0,403000000.0,403000000.0,403000000.0,254000000.0,294000000.0,302000000.0,288000000.0,309000000.0,289000000.0,256000000.0,103200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,64915000.0,51002000.0,44525000.0,41475000.0,57165000.0,69196000.0,0.0,0.0,0.0,76782000.0,0.0,0.0,0.0,83960000.0,0.0,0.0,105471000.0,156586000.0,168601000.0,188468000.0,227728000.0,215634000.0,188185000.0,70700000.0,102899000.0,77174000.0,77276000.0,82695000.0,91281000.0,81728000.0,64900000.0,58200000.0,45100000.0,37700000.0,30400000.0,0.0,19200000.0,17600000.0,18300000.0,17900000.0,15600000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,23756000.0,9683000.0,10217000.0,10459000.0,11097000.0,13006000.0,0.0,0.0,0.0,12368000.0,0.0,0.0,0.0,12895000.0,0.0,0.0,5075000.0,5622000.0,5859000.0,5987000.0,5443000.0,5490000.0,9440000.0,3200000.0,13083000.0,1999000.0,9773000.0,4311000.0,4261000.0,4388000.0,-600000.0,-600000.0,-500000.0,-700000.0,200000.0,0.0,1000000.0,600000.0,600000.0,400000.0,300000.0,0.0,0.0
,EBITDA,118582000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408080808080808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,94826000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.199091317547565,0.204827115027097,0.372622357902652,0.19661967438449,0.243739823905274,-0.0558911713237999,0.0,0.0,0.0,0.30673431040962,0.0,0.0,0.0,0.223410320437973,0.0,0.0,0.139284178525356,0.184669445039976,0.0351500990501346,0.158275094038165,0.176311459689711,0.368426939224998,-0.10978749755557,0.343434343434343,0.453123711850154,0.5195391947165,0.490118995152049,0.434027700831025,0.151027149788376,0.29070867072522,0.384122919334187,0.383333333333333,0.358834244080146,0.384453781512605,0.383631713554987,0.0,0.364754098360656,0.156626506024096,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,94826000.0,75250000.0,132800000.0,68089000.0,85180000.0,-20058000.0,0.0,0.0,0.0,122433000.0,0.0,0.0,0.0,89737000.0,0.0,0.0,27856000.0,35316000.0,5536000.0,29917000.0,17467000.0,42823000.0,-6737000.0,17000000.0,54963000.0,69226000.0,55604000.0,39171000.0,7315000.0,19674000.0,30000000.0,25300000.0,19700000.0,18300000.0,15000000.0,0.0,8900000.0,2600000.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,0.199091317547565,0.204827115027097,0.372622357902652,0.19661967438449,0.243739823905274,-0.0558911713237999,0.0,0.0,0.0,0.30673431040962,0.0,0.0,0.0,0.223410320437973,0.0,0.0,0.139284178525356,0.184669445039976,0.0351500990501346,0.158275094038165,0.176311459689711,0.368426939224998,-0.10978749755557,0.343434343434343,0.453123711850154,0.5195391947165,0.490118995152049,0.434027700831025,0.151027149788376,0.29070867072522,0.384122919334187,0.383333333333333,0.358834244080146,0.384453781512605,0.383631713554987,0.0,0.364754098360656,0.156626506024096,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,20499000.0,21409000.0,48390000.0,15443000.0,25994000.0,-17554000.0,0.0,0.0,0.0,37252000.0,0.0,0.0,0.0,-8709000.0,0.0,0.0,3301000.0,866000.0,-4298000.0,6972000.0,-9323000.0,1558000.0,-1631000.0,100000.0,-1649000.0,5577000.0,4284000.0,720000.0,-1318000.0,108000.0,3400000.0,3900000.0,3100000.0,3600000.0,2900000.0,0.0,1900000.0,1000000.0,0.0,0.0,0.0,0.0,0.0
,netIncome,74327000.0,53841000.0,84410000.0,52646000.0,59186000.0,-2504000.0,0.0,0.0,0.0,85181000.0,0.0,0.0,0.0,98446000.0,0.0,0.0,24555000.0,34450000.0,9834000.0,22945000.0,26790000.0,41265000.0,-5106000.0,16900000.0,56612000.0,63649000.0,51320000.0,38451000.0,8469000.0,19566000.0,26600000.0,21400000.0,16600000.0,14700000.0,12100000.0,9800000.0,7000000.0,2100000.0,1000000.0,0.0,-500000.0,-3800000.0,2300000.0
,netIncomeRatio,0.156052774126905,0.146552780068757,0.236845280350624,0.152025134421799,0.169358830918731,-0.00697734036268795,0.0,0.0,0.0,0.213405987723913,0.0,0.0,0.0,0.24509235216061,0.0,0.0,0.122778683360501,0.180141080009831,0.0624396810077716,0.121389913183331,0.270417587741877,0.355022713194301,-0.0832083958020989,0.341414141414141,0.46671833006315,0.477683965627228,0.452357866901719,0.426049861495845,0.174852895633323,0.289112831727643,0.340588988476312,0.324242424242424,0.302367941712204,0.308823529411765,0.309462915601023,0.0,0.286885245901639,0.126506024096386,0.0869565217391304,0.0,-0.072463768115942,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.44788156228694,0.93,1.59,0.88,1.34780133445677,-0.0566118785467206,0.0,0.0,0.0,1.58,0.0,0.0,0.0,1.85,0.0,0.0,0.589895738240523,0.67,-0.5,0.944666309852196,0.91,1.6963331414947,-0.207882094291996,0.67331,2.11,2.654545,2.322314,1.738843,0.294515,0.805409,1.214125,0.96922,0.756747072562699,0.19864,0.137242,0.106182,0.049841,0.015891,0.00788,0.000657,-0.00394,-0.031877,0.020072
,EPSDiluted,1.44788156228694,0.92,1.52,0.86,1.15851080488569,-0.0486638810611214,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.73,0.0,0.0,0.542005120960622,0.67,-0.5,0.944005595326257,0.9,1.69347888537776,-0.206955252918288,0.67331,2.05,2.527273,2.190083,1.652893,0.288505,0.787378,1.184072,0.937664,0.729364797954967,0.191417,0.128574,0.098598,0.049841,0.015891,0.00788,0.000657,-0.00394,-0.031877,0.020072
,weightedAverageShsOut,51527000.0,51335000.0,45400000.0,43939000.0,43913000.0,44231000.0,44231000.0,44231000.0,44231000.0,45024000.0,45024000.0,45024000.0,45024000.0,45706000.0,45717000.0,45717000.0,41626000.0,44524000.0,36810000.0,24289000.0,24260000.0,24326000.0,24562000.0,25100000.0,24571000.0,22394900.0,21049160.0,20737887.0,20866752.0,21274371.0,21713601.0,22062991.0,21935995.0,22087915.0,22201086.0,15251179.0,16088297.0,14700314.0,14001330.0,14004658.0,12588381.0,12222246.0,11316894.0
,weightedAverageShsOutDil,51527000.0,51719000.0,51349000.0,51096000.0,51088000.0,51455000.0,51455000.0,51455000.0,51455000.0,52326000.0,52326000.0,52326000.0,52326000.0,53033000.0,53053000.0,53053000.0,45304000.0,44524000.0,36810000.0,24306000.0,24327000.0,24367000.0,24672000.0,25100000.0,25258000.0,23482800.0,22369270.0,21783025.0,21244423.0,21898277.0,22270957.0,22795023.0,22759530.0,22087915.0,22201086.0,15251179.0,16088297.0,14700314.0,14001330.0,14004658.0,12588381.0,12222246.0,11316894.0
