date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-25_FY,2015-12-27_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2011-12-31_FY,2011-12-25_FY,2010-12-31_FY,2010-12-30_FY,2009-12-31_FY,2008-12-31_FY,2008-01-31_FY,2007-12-30_FY,2006-12-31_FY,2005-12-31_FY,2005-12-25_FY,2004-12-31_FY,2004-12-26_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,operatingExpenses,52420000.0,63883000.0,77722000.0,81379000.0,33060000.0000001,40935000.0000001,40737999.9999999,29500000.0,27800000.0000001,25888000.0,25888000.0,28285000.0,1145000.0,22645000.0,793000000.0,793000000.0,29200000.0,30149000.0,62914000.0,21019000.0,25776000.0,0.0,22902000.0,30843000.0,29249000.0,47636000.0,48800000.0,46500000.0,46900000.0,47200000.0,47700000.0,45800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,1087554000.0,1320308000.0,1416022000.0,1086537000.0,678075000.0,691652000.0,727534000.0,755000000.0,788600000.0,781000000.0,781000000.0,658548000.0,44492000.0,451660000.0,792562000.0,130769000.0,953600000.0,811271000.0,871563000.0,829668000.0,845415000.0,819639000000.0,739460000.0,673132000.0,567289000.0,523394000.0,466600000.0,459100000.0,460900000.0,422400000.0,428200000.0,364500000.0,318500000.0,277500000.0,241900000.0,238800000.0,218600000.0,177800000.0,153400000.0,134900000.0,119500000.0
,interestExpense,45418000.0,0.0,0.0,0.0,645000.0,-1097000.0,95000.0,1900000.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63000.0,0.0,200000.0,0.0,1500000.0,3300000.0,2900000.0,4300000.0,5200000.0,0.0,0.0,4100000.0,3500000.0,0.0,1800000.0,1200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,98178000.0,100722000.0,95056000.0,69335000.0,34261000.0,34530000.0,35582000.0,28500000.0,26400000.0,27538000.0,27538000.0,29093000.0,29093000.0,30779000.0,43712000.0,42925000.0,42900000.0,39137000.0,46468000.0,46468000.0,39281000.0,39281000000.0,33577000.0,32605000.0,28388000.0,26920000.0,28500000.0,26700000.0,26900000.0,27300000.0,27700000.0,26600000.0,21700000.0,21500000.0,12400000.0,11500000.0,7400000.0,5400000.0,4600000.0,3400000.0,2800000.0
,EBITDA,111384000.0,152901000.0,180861000.0,90853000.0,88863000.0,70824000.0,53495000.0,63100000.0,59300000.0,68710000.0,67373000.0,90045000.0,24057000.0,-2035000.0,6044000.0,55852000.0,46200000.0,17728000.0,19789000.0,19789000.0,95621000.0,95621000000.0,134466000.0,142072000.0,104494000.0,148425000.0,133700000.0,107000000.0,115100000.0,109100000.0,121500000.0,118700000.0,96200000.0,69300000.0,44000000.0,40300000.0,34900000.0,27800000.0,20700000.0,17100000.0,14100000.0
,EBITDARatio,0.101188269922599,0.111404333884401,0.120427319524819,0.0819932223580959,0.121285368586703,0.0972929310690628,0.0717623117404725,0.0799138804457953,0.0721850273889227,0.0835713208428407,0.0819451404329021,0.125149409312022,0.609717153284672,-0.00485858764319105,0.00800642209369792,0.38331720507594,0.0482809070958303,0.0224444270011724,0.0234221502596806,0.0234221502596806,0.106038779934683,0.106038779934683,0.160012090214899,0.181538693507147,0.162410338905338,0.230152318425056,0.233823015040224,0.198368557656656,0.209615734838827,0.216382387941293,0.232758620689655,0.259964958388086,0.244783715012723,0.213034122348601,0.160877513711152,0.150597907324365,0.141812271434376,0.138861138861139,0.12212389380531,0.11507402422611,0.107798165137615
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,13206000.0,52179000.0,85805000.0,21518000.0,54602000.0,36294000.0,17913000.0,34600000.0,32900000.0,41172000.0,39835000.0,60952000.0,-5036000.0,-32814000.0,-37668000.0,12927000.0,3300000.0,-21409000.0,-26679000.0,-26679000.0,56340000.0,56340000000.0,100889000.0,109467000.0,76106000.0,121505000.0,105200000.0,80300000.0,88200000.0,81800000.0,93800000.0,92100000.0,74500000.0,47800000.0,31600000.0,28800000.0,27500000.0,22400000.0,16100000.0,13700000.0,11300000.0
,operatingIncomeRatio,0.01199716559468,0.0380178464349753,0.0571337444326144,0.019419613647337,0.0745239716819281,0.0498580938696002,0.0240298773755881,0.0438196555217832,0.0400486914181376,0.0500771128182424,0.0484509324083039,0.0847143849895761,-0.127635847526358,-0.0783438304293225,-0.0498983963311405,0.0887191418394449,0.00344863622113073,-0.0271047347511337,-0.0315771159117701,-0.0315771159117701,0.0624781675732322,0.0624781675732322,0.120056071941539,0.139876232911108,0.118288143364496,0.188409347820356,0.183980412731724,0.148869113830182,0.160626479694045,0.162237207457358,0.179693486590038,0.201708278580815,0.189567430025445,0.146941284967722,0.115539305301645,0.10762331838565,0.111743193823649,0.111888111888112,0.0949852507374631,0.0921938088829071,0.0863914373088685
,totalOtherIncomeExpensesNet,-196468000.0,-98205000.0,-3456000.0,19352000.0,-526000.0,86000.0,-2306000.0,400000.0,400000.0,-347000.0,990000.0,-5073000.0,-1089000.0,-12596000.0,-11581000.0,812000.0,3200000.0,238000.0,-37277000.0,-588000.0,4093000.0,-1614000000.0,9799000.0,7398000.0,4035000.0,-6318000.0,-2100000.0,700000.0,-1500000.0,-6200000.0,-5600000.0,1000000.0,2400000.0,2900000.0,3200000.0,-2500000.0,2300000.0,1700000.0,2100000.0,2700000.0,800000.0
,incomeBeforeTax,-228680000.0,-93037000.0,32252000.0,866000.0,54721000.0,35283000.0,15702000.0,36800000.0,34500000.0,41926000.0,41926000.0,57483000.0,-6125000.0,-43255000.0,-28573000.0,13739000.0,10200000.0,-16088000.0,-16732000.0,-16732000.0,66109000.0,66109000000.0,113415000.0,120384000.0,84189000.0,122510000.0,108500000.0,80800000.0,86200000.0,74100000.0,85000000.0,90300000.0,72700000.0,45400000.0,28400000.0,19900000.0,25700000.0,20500000.0,15100000.0,14400000.0,10900000.0
,incomeBeforeTaxRatio,-0.207747374541226,-0.0677871630113801,0.0214751765682732,0.000781549652318703,0.0746863897733926,0.0484692545875656,0.0210638717440677,0.0466058763931104,0.0419963481436397,0.0509941958616932,0.0509941958616932,0.0798929812369701,-0.155236212489862,-0.103271846931808,-0.037850347201064,0.0942919695004358,0.0106594210471314,-0.0203681149365332,-0.0198039020741309,-0.0198039020741309,0.0733114870447073,0.0733114870447073,0.134961783735091,0.153825905732054,0.130851187839508,0.189967731381193,0.189751661420077,0.149796069707082,0.156984155891459,0.146965489884966,0.162835249042146,0.197766097240473,0.18498727735369,0.13956347986474,0.103839122486289,0.0743647234678625,0.104429093864283,0.102397602397602,0.0890855457227139,0.0969044414535666,0.0833333333333333
,incomeTaxExpense,14881000.0,3423000.0,6291000.0,6875000.0,13340000.0,11339000.0,6899000.0,14017000.0,3598000.0,-25243000.0,25243000.0,2993000.0,3000.0,26047000.0,-1778000.0,-2569000.0,6300000.0,-1534000.0,-9671000.0,-9671000.0,21454000.0,0.0,39695000.0,42134000.0,28835000.0,42573000.0,37700000.0,28500000.0,30800000.0,27200000.0,31900000.0,34000000.0,27500000.0,16800000.0,10200000.0,7600000.0,9500000.0,7400000.0,5600000.0,5900000.0,3700000.0
,netIncome,-243561000.0,-96460000.0,25961000.0,-6203000.0,41381000.0,23944000.0,8803000.0,22800000.0,30900000.0,67169000.0,67169000.0,51643000.0,-6122000.0,-94142000.0,-26053000.0,11170000.0,9300000.0,-9321000.0,-5836000.0,-5836000.0,44655000.0,44655000000.0,73720000.0,78250000.0,55354000.0,79937000.0,70800000.0,52300000.0,55400000.0,46900000.0,53100000.0,56300000.0,45200000.0,28600000.0,18200000.0,12300000.0,16200000.0,13100000.0,9500000.0,8500000.0,7200000.0
,netIncomeRatio,-0.221266216068898,-0.0702811757051251,0.0172862786459426,-0.00559809756735902,0.0564791852344212,0.0328925497220948,0.0118090219693687,0.0288753799392097,0.0376141205112599,0.0816970171691568,0.0816970171691568,0.071776233495483,-0.155160178426602,-0.224765188159849,-0.0345121301798663,0.076660695779887,0.00971888389591389,-0.0118007955820131,-0.00690745711837365,-0.00690745711837365,0.0495201024668563,0.0495201024668563,0.0877254569232545,0.0999873498432786,0.0860342402412204,0.123952742987662,0.123819517313746,0.0969595847237671,0.100892369331634,0.093018643395478,0.101724137931034,0.123302671922908,0.11501272264631,0.0879188441438672,0.06654478976234,0.0459641255605381,0.065826899634295,0.0654345654345654,0.056047197640118,0.0572005383580081,0.055045871559633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-10.81,-5.1,1.0386892854285,-1.01,1.62031,0.89904,0.3258,0.83212,1.13187,2.48,2.48,1.93390503295386,-3061.0,-3.53,-0.98,5585.0,0.34962,-0.35,-0.22,-0.27,1.68,1680.00001,2.76,2.97,2.14,3.07,2.63,1.89,1.97,1.63000000764606,1.77999998055744,1.85000002628774,1.5,0.633333,0.21,0.130303,0.15427,0.12562,0.064112,0.058102,0.049177
,EPSDiluted,-10.81,-5.1,1.03204134366925,-1.01,1.62031,0.89904,0.3258,0.83212,1.13187,2.46,2.48,1.92776886035313,-3061.0,-3.53,-0.98,5585.0,0.34962,-0.35,-0.22,-0.27,1.67,1680.00001,2.73,2.91,2.1,3.04,2.62,1.88,1.96,1.62770590054495,1.77434886993525,1.8443103321082,1.47,0.633333,0.21,0.130303,0.15427,0.12562,0.064112,0.058102,0.049177
,weightedAverageShsOut,22531082.0,25099000.0,24994000.0,24929000.0,25539000.0,26633000.0,27020000.0,27400000.0,27300000.0,27052000.0,27084274.0,26704000.0,2000.0,26668000.0,26655000.0,2000.0,26600000.0,26631429.0,26527273.0,21614814.0,26580357.0,26580357.0,26710145.0,26346801.0,25866355.0,26038111.0,26920152.0,27671958.0,28121827.0,28773006.0,29831461.0,30432432.0,30133333.0,29982000.0,28960000.0,28441000.0,25823000.0,22981000.0,28996000.0,29625000.0,29493000.0
,weightedAverageShsOutDil,22531082.0,25099000.0,25155000.0,24929000.0,25539000.0,26633000.0,27020000.0,27400000.0,27300000.0,27330000.0,27084274.0,26789000.0,2000.0,26668000.0,26655000.0,2000.0,26600000.0,26631429.0,26527273.0,21614814.0,26739521.0,26580357.0,27003663.0,26890034.0,26359048.0,26295066.0,27022901.0,27819149.0,28265306.0,28813559.0,29926471.0,30526316.0,30748299.0,29982000.0,28960000.0,28441000.0,25823000.0,22981000.0,28996000.0,29625000.0,29493000.0
