date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2003-03-28_FY,2002-12-31_FY,2002-03-08_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,operatingExpenses,409000000.0,7926000000.0,7359000000.0,7006000000.0,6724000000.0,6420000000.0,6516000000.0,6585000000.0,6033000000.0,15237000000.0,10163000000.0,6165000000.0,10280000000.0,20116000000.0,18214000000.0,16913000000.0,16536000000.0,14081000000.0,1565000000.0,15883000000.0,1722000000.0,10538000000.0,17660000000.0,16636000000.0,16083000000.0,16119000000.0,15239000000.0,14838000000.0,13429000000.0,10590000000.0,10019400000.0,6568000000.0,6056000000.0,5452000000.0,5055000000.0,5163000000.0,4495000000.0,3495000000.0,1670000000.0,1495000000.0
,costAndExpenses,20794000000.0,38712000000.0,37524000000.0,34062000000.0,31580000000.0,32372000000.0,36085000000.0,36510000000.0,35790000000.0,34696000000.0,17970000000.0,13620000000.0,19474000000.0,20432000000.0,18893000000.0,17598000000.0,17245000000.0,15084000000.0,2805000000.0,17123000000.0,3002000000.0,14809000000.0,18698000000.0,16636000000.0,16083000000.0,16119000000.0,15239000000.0,14838000000.0,13429000000.0,14248000000.0,13427500000.0,12157000000.0,11074000000.0,9329000000.0,8317000000.0,8058000000.0,7029000000.0,5534000000.0,6324000000.0,5806000000.0
,interestExpense,992000000.0,646000000.0,659000000.0,559000000.0,542000000.0,620000000.0,683000000.0,734000000.0,798000000.0,917000000.0,798000000.0,577000000.0,503000000.0,0.0,0.0,0.0,0.0,0.0,590000000.0,0.0,525000000.0,525000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210000000.0,-192000000.0,-221000000.0,-245000000.0,-258000000.0,-223000000.0,-159000000.0,-154000000.0,-195000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2488000000.0,2288000000.0,2240000000.0,2149000000.0,1977000000.0,1819000000.0,1679000000.0,1689000000.0,1522000000.0,1547000000.0,1079000000.0,902000000.0,932000000.0,925000000.0,888000000.0,856000000.0,874000000.0,968000000.0,970000000.0,960000000.0,1932000000.0,1026000000.0,1058000000.0,867000000.0,793000000.0,724000000.0,759000000.0,724000000.0,725000000.0,681000000.0,725600000.0,603800000.0,559600000.0,517000000.0,518400000.0,550500000.0,502300000.0,424100000.0,0.0,0.0
,EBITDA,-2951000000.0,6835000000.0,6019000000.0,5823000000.0,6953000000.0,7311000000.0,4495000000.0,3458000000.0,2884000000.0,3961000000.0,6338000000.0,3617000000.0,1652000000.0,636000000.0,1335000000.0,637000000.0,20000000.0,-392000000.0,-1867000000.0,-1877000000.0,-1839000000.0,2355000000.0,1712000000.0,2258000000.0,2271000000.0,1983000000.0,1882000000.0,829000000.0,1246000000.0,944000000.0,187800000.0,109800000.0,523600000.0,982000000.0,1183400000.0,797500000.0,592300000.0,181100000.0,349000000.0,53000000.0
,EBITDARatio,-0.192184956040378,0.158001803092998,0.145727913226642,0.154308882764469,0.190201334938177,0.193085780688781,0.115549728798746,0.0903367381593041,0.0776270456503015,0.10673672864457,0.272848594429377,0.221426385062749,0.0818064771714371,0.0315742441542968,0.0690279214064116,0.0366534323033546,0.00122018180708926,-0.0285631011366948,-1.07237219988512,-0.131387372252555,-1.11725394896719,0.145928863551865,0.0884663083918975,0.125256559605037,0.129320653721314,0.114109793992404,0.115022613372448,0.055477481094827,0.0893189964157706,0.065054096892013,0.0145697727643002,0.00941438737889051,0.0474404276524418,0.100265468654278,0.131752393676241,0.0960264900662252,0.0831998876246664,0.0342214663643235,0.050086,0.008801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-5439000000.0,4547000000.0,3779000000.0,3674000000.0,4976000000.0,5492000000.0,2816000000.0,1769000000.0,1362000000.0,2414000000.0,5259000000.0,2715000000.0,720000000.0,-289000000.0,447000000.0,-219000000.0,-854000000.0,-1360000000.0,-2837000000.0,-2837000000.0,-3771000000.0,1329000000.0,654000000.0,1391000000.0,1478000000.0,1259000000.0,1123000000.0,105000000.0,521000000.0,263000000.0,-537800000.0,-494000000.0,-36000000.0,465000000.0,665000000.0,247000000.0,90000000.0,-243000000.0,643000000.0,216000000.0
,operatingIncomeRatio,-0.35421686746988,0.105111075151991,0.0914945645594751,0.0973606105575578,0.13611992559361,0.145045425734207,0.0723888846045089,0.0462133284568562,0.0366602067183463,0.0650498517919698,0.226398036936588,0.166207529843893,0.0356541546994157,-0.0143474159757732,0.0231127197518097,-0.0126014155014673,-0.0521017631627112,-0.0990964733313903,-1.62952326249282,-0.198586028279434,-2.2910085054678,0.0823522121700335,0.0337949565936337,0.0771620347256892,0.0841637719947611,0.0724479226608355,0.068634641241902,0.00702670146556916,0.0373476702508961,0.018124181655296,-0.041723236382538,-0.0423561690817114,-0.00326175591193259,0.0474780477843578,0.0740369628145179,0.029741119807345,0.0126422250316056,-0.0459183673469388,0.0922789896670494,0.0358684822318167
,totalOtherIncomeExpensesNet,-2441000000.0,-120000000.0,-563000000.0,-173000000.0,-657000000.0,-678000000.0,-1027000000.0,-517000000.0,-1311000000.0,-672000000.0,-627000000.0,-337000000.0,-3166000000.0,106000000.0,29000000.0,-20517000000.0,-448000000.0,-976000000.0,0.0,162000000.0,0.0,-673000000.0,78000000.0,845000000.0,74000000.0,499000000.0,85000000.0,93000000.0,-63000000.0,-3000000.0,117400000.0,196000000.0,393000000.0,295000000.0,569000000.0,-2000000.0,-95000000.0,193000000.0,-8000000.0,227000000.0
,incomeBeforeTax,-8822000000.0,3914000000.0,2658000000.0,2999000000.0,3819000000.0,4219000000.0,1128000000.0,539000000.0,-724000000.0,845000000.0,250000000.0,-672000000.0,-5379000000.0,695000000.0,22889000000.0,-21180000000.0,-1726000000.0,-2808000000.0,0.0,-3205000000.0,-1226000000.0,-3357000000.0,431000000.0,1942000000.0,1256000000.0,1524000000.0,970000000.0,621000000.0,171000000.0,-47000000.0,-656000000.0,-508000000.0,164000000.0,539000000.0,989000000.0,-13000000.0,-228000000.0,-209000000.0,482000000.0,248000000.0
,incomeBeforeTaxRatio,-0.574535981764897,0.090478281976005,0.0643536789095223,0.0794731821072716,0.104469854469854,0.11142510035918,0.0289966838898743,0.0140808276078267,-0.0194875107665805,0.0227701428186473,0.0107624090576435,-0.0411386593204775,-0.266366247400218,0.0345033013950256,1.1835056876939,-1.21871223890903,-0.105301689951803,-0.204605071407753,0.0,-0.224345513089738,-0.744835965978129,-0.208018341801958,0.0222715998346424,0.107727297941976,0.0715221228859404,0.0876970882725285,0.0592837061483926,0.0415579200963662,0.012258064516129,-0.00323892219695403,-0.05089334895304,-0.0435565463431364,0.0148591102654707,0.0550336940984276,0.110109107103095,-0.00156532209512342,-0.0320269700800674,-0.0394935752078609,0.0691733639494834,0.0411823314513451
,incomeTaxExpense,-1753000000.0,905000000.0,529000000.0,868000000.0,1556000000.0,-3121000000.0,-4000000.0,-32000000.0,-1000000.0,5000000.0,0.0,-17000000.0,-25000000.0,297000000.0,21000000.0,0.0,0.0,0.0,0.0,0.0,-1226000000.0,-1226000000.0,160000000.0,699000000.0,429000000.0,561000000.0,370000000.0,243000000.0,94000000.0,-16000000.0,-239000000.0,-176000000.0,70000000.0,214000000.0,389000000.0,-8000000.0,-115000000.0,-114000000.0,221000000.0,106000000.0
,netIncome,-7069000000.0,3009000000.0,2129000000.0,2131000000.0,2263000000.0,7340000000.0,1132000000.0,571000000.0,-723000000.0,840000000.0,253000000.0,-651000000.0,-5348000000.0,403000000.0,22876000000.0,-21176000000.0,-1721000000.0,-2808000000.0,0.0,-3212000000.0,0.0,-2139000000.0,50000000.0,1235000000.0,821000000.0,949000000.0,533000000.0,349000000.0,51000000.0,-50000000.0,-957000000.0,-332000000.0,94000000.0,324000000.0,1124000000.0,335000000.0,11000000.0,-49000000.0,282000000.0,142000000.0
,netIncomeRatio,-0.460371214588082,0.0695577798839548,0.051545892550178,0.0564712741149035,0.0619050224313382,0.193851679695753,0.0290995090100512,0.0149167951095901,-0.0194605943152455,0.0226354082457559,0.0108915579663352,-0.0398530762167126,-0.264831137961771,0.020006950305317,1.18283350568769,-1.21848207606882,-0.104996644500031,-0.204605071407753,0.0,-0.224835503289934,0.0,-0.132544305366216,0.00258371227780074,0.0685083485882288,0.0467513239564945,0.0546092760962136,0.0325754797701992,0.0233554172522251,0.00365591397849462,-0.00344566191165323,-0.0742453276647246,-0.0284660893423647,0.00851680710337954,0.0330814784561977,0.125139167223336,0.0403371462974112,0.00154516083719624,-0.00925925925925926,0.0404707233065442,0.0235802059116573
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-28.1390885891315,11.977722,7.887675,7.425781,7.19297,19.52,3.05,1.64,-2.18,2.54,1.22,-4.32,-42.21,3.34,196.75,-182.29,-15.25,-27.36,0.0,-53.55,0.0,-40.04,0.04,21.2,12.71,14.83,5.16,5.0025,-0.1525,-1.00523809466367,-19.2402571318627,-3.56989,1.08046,3.72414,9.44538,1.50224,0.06077,-0.35252,1.73006,1.10078
,EPSDiluted,-28.1390885891315,11.58,7.7,7.02,6.85,19.47,2.93,1.53,-2.18,2.26,1.08,-4.32,-42.21,2.79,196.75,-182.29,-15.25,-27.36,0.0,-53.55,0.0,-40.04,0.04,9.94,6.83,8.95,5.04,4.7775,-0.1525,-1.00523809466367,-19.2402571318627,-3.56989,1.08046,3.72414,9.44538,1.50224,0.06077,-0.35252,1.73006,1.10078
,weightedAverageShsOut,251216381.0,251216381.0,269914769.0,286973195.0,314612744.0,376000000.0,371000000.0,348000000.0,331000000.0,329000000.0,207000000.0,150700000.0,126800000.0,120658683.0,116269377.0,116166548.0,112852459.0,102631579.0,56169251.0,56169251.0,53800000.0,53800000.0,61082474.0,58254717.0,64594807.0,63991908.0,58933372.0,50500756.0,49739460.0,49739460.0,49739460.0,93000000.0,87000000.0,87000000.0,119000000.0,223000000.0,181000000.0,139000000.0,163000000.0,129000000.0
,weightedAverageShsOutDil,251216381.0,259900000.0,276700000.0,303600000.0,330000000.0,377000000.0,390000000.0,390000000.0,331000000.0,383000000.0,253000000.0,150700000.0,126800000.0,144444444.0,116269377.0,116166548.0,112852459.0,102631579.0,56169251.0,56169251.0,53800000.0,53800000.0,61082474.0,58254717.0,64594807.0,63991908.0,58933372.0,50500756.0,49739460.0,49739460.0,49739460.0,93000000.0,87000000.0,87000000.0,119000000.0,223000000.0,181000000.0,139000000.0,163000000.0,129000000.0
