date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2011-02-28_FY,2011-02-25_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-11-30_FY,1986-11-30_FY,1985-11-30_FY
,operatingExpenses,131424000.0,121541000.0,105442000.0,98846000.0,91167000.0,88381000.0,83040000.0,77514000.0,72184000.0,68142000.0,0.0,10332000.0,68682000.0,63024000.0,59768000.0,56203000.0,86880000.0,82279000.0,72631000.0,69091000.0,64811000.0,57601000.0,51415000.0,44699000.0,39724000.0,28669000.0,23666000.0,19588000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,234792000.0,214815000.0,191836000.0,178954000.0,165514000.0,155783000.0,145837000.0,135399000.0,125177000.0,117553000.0,0.0,10332000.0,119824000.0,113283000.0,107142000.0,97321000.0,86880000.0,82279000.0,72631000.0,69091000.0,64811000.0,57601000.0,51415000.0,44699000.0,39724000.0,28669000.0,23666000.0,19588000.0,-14200000.0,-10600000.0,-8400000.0,-7900000.0,-8400000.0,-8600000.0,-2000000.0,-1100000.0,-800000.0,-1000000.0
,interestExpense,31719000.0,32329000.0,33018000.0,32856000.0,33009000.0,33330000.0,34250000.0,33903000.0,34168000.0,34709000.0,0.0,35171000.0,35171000.0,32520000.0,30192000.0,27314000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,116359000.0,104724000.0,91704000.0,83874000.0,77935000.0,73290000.0,70314000.0,65789000.0,61696000.0,57451000.0,0.0,58350000.0,58350000.0,53953000.0,51221000.0,47908000.0,41525000.0,39234000.0,33288000.0,32050000.0,30333000.0,27041000.0,23449000.0,20178000.0,16574000.0,10409000.0,7759000.0,5613000.0,4500000.0,33100000.0,2400000.0,2000000.0,1900000.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,244590000.0,221296000.0,200260000.0,179070000.0,165468000.0,152515000.0,144306000.0,132561000.0,122697000.0,114529000.0,0.0,231352000.0,111652000.0,113024000.0,112654000.0,101317000.0,88258000.0,83460000.0,75341000.0,71400000.0,71332000.0,74735000.0,70137000.0,61715000.0,53578000.0,35362000.0,23858000.0,16289000.0,45900000.0,64400000.0,20900000.0,27400000.0,25100000.0,34200000.0,12900000.0,8800000.0,9900000.0,13900000.0
,EBITDARatio,0.673758962930723,0.667787209516366,0.666662228022051,0.653182564289623,0.653902239504914,0.648977907135076,0.656446601676758,0.655687512056625,0.659030605119832,0.655834302042593,0.0,1.33632152305257,0.644917574483324,0.655766619863769,0.668272282366899,0.672175412990115,0.660549497429142,0.659736769297656,0.656944299117575,0.658422552355659,0.674151781495133,0.709767795241939,0.714932265068347,0.715652395751194,0.698284850380565,0.659468128753124,0.59997485225701,0.538230240549828,1.6875,3.11111111111111,2.06930693069307,1.56571428571429,1.69594594594595,1.3359375,1.18348623853211,1.14285714285714,1.08791208791209,1.07751937984496
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,128231000.0,116572000.0,108556000.0,95196000.0,87533000.0,79225000.0,73992000.0,66772000.0,61001000.0,57078000.0,0.0,173002000.0,53302000.0,59071000.0,61433000.0,53409000.0,46733000.0,44226000.0,42053000.0,39350000.0,40999000.0,47694000.0,46688000.0,41537000.0,37004000.0,24953000.0,16099000.0,10676000.0,41400000.0,31300000.0,18500000.0,25400000.0,23200000.0,34200000.0,12900000.0,8800000.0,9900000.0,13900000.0
,operatingIncomeRatio,0.353231062494663,0.351769984942077,0.361381128658553,0.347240561736276,0.345915976083494,0.337116183278867,0.336588894094956,0.330274866326031,0.327648809204095,0.326849184852632,0.0,0.999283758649769,0.307879810080519,0.342730658992539,0.364425329971823,0.354335566907716,0.349763870282083,0.349598830085767,0.3666858498134,0.362870132145591,0.387477554106417,0.452955980815803,0.475907974271939,0.481666589359432,0.482275049525597,0.465350042892842,0.404853514397083,0.352762357916997,1.52205882352941,1.51207729468599,1.83168316831683,1.45142857142857,1.56756756756757,1.3359375,1.18348623853211,1.14285714285714,1.08791208791209,1.07751937984496
,totalOtherIncomeExpensesNet,14087000.0,41231000.0,15186000.0,23168000.0,43774000.0,3840000.0,9967000.0,758000.0,268000.0,131000.0,0.0,124000.0,288000.0,351000.0,125000.0,2278000.0,123000.0,0.0,0.0,0.0,186000.0,4311000.0,0.0,0.0,0.0,0.0,0.0,0.0,2300000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,108391000.0,123340000.0,88636000.0,83589000.0,96094000.0,48399000.0,48473000.0,32338000.0,25898000.0,22834000.0,0.0,18755000.0,18755000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,0.298578877922336,0.372193236306795,0.295067778103278,0.304902425679373,0.379747635814691,0.205946180555556,0.220503209312693,0.159953702558725,0.139103438644738,0.130755707749483,0.0,0.108331504222358,0.108331504222358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,108363000.0,121662000.0,88506000.0,83183000.0,95509000.0,47866000.0,47941000.0,32615000.0,32384000.0,22359000.0,0.0,18755000.0,18325000.0,26659000.0,34142000.0,29734000.0,29234000.0,22191000.0,23327000.0,20445000.0,23626000.0,34182000.0,36512000.0,38355000.0,29336000.0,20779000.0,12509000.0,7711000.0,7200000.0,6400000.0,-3700000.0,5700000.0,3000000.0,14000000.0,8900000.0,6700000.0,8300000.0,11900000.0
,netIncomeRatio,0.298501747823141,0.367129670143971,0.294635010253269,0.303421484588729,0.377435812319451,0.203678172657952,0.218083146445646,0.161323829827225,0.173941067150791,0.128035686676478,0.0,0.108331504222358,0.105847764056236,0.154675841581861,0.202532997182263,0.19726663570623,0.2187960752322,0.175415991462788,0.203402392661574,0.188535701441337,0.223287023910783,0.324630799183247,0.372180259523154,0.444767846375064,0.38233760817433,0.387508858304427,0.314573117062744,0.254791171028284,0.264705882352941,0.309178743961353,-0.366336633663366,0.325714285714286,0.202702702702703,0.546875,0.81651376146789,0.87012987012987,0.912087912087912,0.922480620155039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,2.89415629506971,3.25,2.5,2.45,2.93305285139576,1.49157084540837,1.53,1.08132749817651,1.13321902229065,0.831282299141168,0.0,0.70107,0.684995514354067,1.04177413051973,1.31,1.15,1.19,0.91,1.0,0.72,0.86,1.54,1.7,2.01,1.67,1.58,0.96,1.213333,1.16,1.74,-0.99,1.52,0.79,3.71,2.32,1.67,2.07,2.93
,EPSDiluted,2.89415629506971,3.24,2.49,2.44,2.92720975848964,1.48670642315816,1.52,1.07750503815785,1.12926735711546,0.829001520151274,0.0,0.70107,0.683156874440799,1.03771895679253,1.3,1.14,1.17,0.89,0.98,0.7,0.84,1.51,1.68,1.99,1.66,1.56,0.96,1.213333,1.15,1.71,-0.99,1.52,0.79,3.71,2.32,1.67,2.07,2.93
,weightedAverageShsOut,791175.0,37442000.0,35439000.0,33996000.0,32563000.0,32091000.0,31341000.0,30162000.0,28577000.0,26897000.0,26752000.0,26752000.0,26752000.0,25590000.0,24503000.0,23562000.0,22372000.0,21567000.0,20771000.0,17819000.0,15868000.0,15697000.0,15623000.0,16046000.0,16283000.0,13176000.0,13015500.0,6339000.0,6206897.0,3678161.0,3737374.0,3750000.0,3797468.0,3773585.0,3836207.0,4011976.0,4009662.0,4061433.0
,weightedAverageShsOutDil,791175.0,37527000.0,35506000.0,34047000.0,32628000.0,32196000.0,31452000.0,30269000.0,28677000.0,26971000.0,26752000.0,26752000.0,26824000.0,25690000.0,24653000.0,23781000.0,22692000.0,21892000.0,21088000.0,18194000.0,16237000.0,16046000.0,15798000.0,17362000.0,16432000.0,13338000.0,13015500.0,6339000.0,6260870.0,3742690.0,3737374.0,3750000.0,3797468.0,3773585.0,3836207.0,4011976.0,4009662.0,4061433.0
