date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY
,netCashUsedProvidedByFinancingActivities,36584000.0,20359000.0,21613000.0,10424000.0,22178000.0,1388000.0,-1143000.0,10213000.0,4129000.0,26431555.0,10349732.099836,2654825.547587,-90791.467864,-209047.79898,38375364.625302,3415329.571915,1000315.658195,611677.066897,153605.685676,83013.137582,196891.566265,181898.961661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,107000.0,43000.0,-71000.0,541000.0,64000.0,-180000.0,-134000.0,-401000.0,-153000.0,194936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,8094000.0,-1401000.0,-6409000.0,1673000.0,3936000.0,2554000.0,3782000.0,3015000.0,-1257000.0,6702722.0,3359844.849186,-3391311.30064,-4717677.051174,-14442596.825996,25323444.802578,1765514.956116,223947.017589,149609.495794,5730.788289,-6992.848366,2767.279645,2457.401491
,cashAtEndOfPeriod,40985000.0,13239000.0,12165000.0,18574000.0,16901000.0,12965000.0,10410000.0,6629000.0,12400000.0,13657368.0,6962688.638335,3623445.435162,6771284.498082,11600747.213301,27769423.851732,2174787.748522,393062.40055,155901.965604,5869.084509,117.828676,7155.992391,4606.629393
,cashAtBeginningOfPeriod,32891000.0,14640000.0,18574000.0,16901000.0,12965000.0,10411000.0,6628000.0,3614000.0,13657000.0,6954646.0,3602843.789149,7014756.735802,11488961.549256,26043344.039297,2445979.049154,409272.792406,169115.382961,6292.46981,138.29622,7110.677042,4388.712746,2149.227902
,operatingCashFlow,-32178000.0,-44378000.0,-7784000.0,-10340000.0,-12039000.0,-2084000.0,-4352000.0,-9219000.0,7031000.0,-14246415.0,-2961454.177508,-3419781.934483,-2839811.020675,-2239716.606839,-6432402.296535,-726319.183235,-471710.316948,-302530.942998,-133369.324863,-73934.028544,-104881.420419,-101483.626198
,capitalExpenditure,-627000.0,0.0,-107000.0,0.0,-260000.0,-4297000.0,-2542000.0,-4724000.0,-18599000.0,-7078585.0,-2476915.293437,-2818361.116495,-4617411.35747,-11219856.414132,-6619517.526189,-923994.268315,-304658.323657,-159536.628105,-14505.572524,-16071.957405,-89242.866202,-77957.933972
,freeCashFlow,-32805000.0,-44378000.0,-7891000.0,-10340000.0,-12299000.0,-6381000.0,-6894000.0,-13943000.0,-11568000.0,-21325000.0,-5438369.470945,-6238143.050979,-7457222.378146,-13459573.020971,-13051919.822724,-1650313.451549,-776368.640606,-462067.571103,-147874.897387,-90005.985949,-194124.28662,-179441.56017
