date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2018-03-14_FY,2017-12-31_FY,2017-03-08_FY,2016-12-31_FY,2016-03-09_FY,2015-12-31_FY,2015-03-11_FY,2014-12-31_FY,2014-03-12_FY,2013-12-31_FY,2013-03-13_FY,2012-12-31_FY,2012-03-14_FY,2011-12-31_FY,2011-03-15_FY,2010-12-31_FY,2010-03-17_FY,2009-12-31_FY,2009-03-17_FY,2008-12-31_FY,2007-12-31_FY,2007-03-14_FY,2006-12-31_FY,2005-12-31_FY,2005-03-11_FY,2004-12-31_FY,2004-04-14_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,investmentsInPropertyPlantAndEquipment,-4288000000.0,-3988000000.0,-3064000000.0,-3064000000.0,-4034000000.0,0.0,-3772000000.0,0.0,-2841000000.0,-2841000000.0,-4283000000.0,0.0,-3469000000.0,-3469000000.0,-3515000000.0,0.0,-3295000000.0,-3295000000.0,-2959000000.0,0.0,-2854000000.0,0.0,-2988101020.0,-3151256331.0,0.0,-3132572227.0,-3428305617.0,0.0,-3364530838.0,0.0,-3179183305.0,-3770853006.0,-7395733843.0,-4832033594.0,-3587962963.0,-3773993808.0,-3413009292.0,-3127997807.0,-2804063267.0,-2811053444.0,-3209954991.0,-3717991100.0,-3270048532.0
,acquisitionsNet,617000000.0,-38000000.0,-305000000.0,-305000000.0,-1272000000.0,-1272000000.0,-292000000.0,-292000000.0,77000000.0,77000000.0,119000000.0,119000000.0,78000000.0,78000000.0,-13000000.0,-13000000.0,-686000000.0,-686000000.0,-52000000.0,-52000000.0,-288000000.0,-288000000.0,-35000000.0,3101000000.0,3101000000.0,-63000000.0,-188000000.0,-188000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38000000.0,0.0,-3000000.0,0.0,-593000000.0,0.0,-12000000.0,0.0,-4000000.0,0.0,-53000000.0,0.0,-8499272.0,-26814977.0,0.0,-304054054.0,-232585185.0,0.0,0.0,0.0,0.0,-6603714196.0,-1165234002.0,0.0,-2729021991.0,-3499071207.0,-1165975697.0,-370015075.0,-173984183.0,-1035068032.0,-420042362.0,-1662047044.0,-244973423.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,6000000.0,0.0,107000000.0,0.0,0.0,0.0,36000000.0,0.0,10000000.0,0.0,16000000.0,0.0,56000000.0,0.0,139000000.0,0.0,113000000.0,0.0,1214182.0,191677426.0,0.0,64072693.0,18606815.0,0.0,655147588.0,0.0,163596548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86037633.0,2235937719.0,740005296.0,907056580.0,207996303.0
,otherInvestingActivites,-79000000.0,3000000.0,-32000000.0,0.0,-83000000.0,0.0,-533000000.0,0.0,-51000000.0,0.0,11000000.0,0.0,23000000.0,0.0,28000000.0,0.0,6000000.0,0.0,-98000000.0,0.0,-96000000.0,0.0,-888780961.0,-39725892.0,0.0,-257455731.0,4651705.0,0.0,124790016.0,0.0,63119927.0,3238904627.0,245144858.0,-221955609.0,6274016204.0,-245820434.0,1542959256.0,656982321.0,-2999728.0,-233833637.0,-36007413.0,529942785.0,-2357984747.0
,netCashUsedForInvestingActivites,-4432000000.0,-4036000000.0,-4386000000.0,-83000000.0,-5437000000.0,-16000000.0,-4584000000.0,-51000000.0,-4114000000.0,11000000.0,-3570000000.0,23000000.0,-6401000000.0,28000000.0,-4093000000.0,6000000.0,-3884000000.0,-98000000.0,-2976000000.0,-89000000.0,-3217000000.0,-726000000.0,-3949732880.0,-66540868.0,-2000000.0,-3701071761.0,-3865565763.0,-3864000000.0,-3863690905.0,0.0,-3015586758.0,-7135662575.0,-3354027380.0,-8168866227.0,-31973380.0,-6750928793.0,-3036025733.0,-2841030561.0,-2895009545.0,-1844017394.0,-2925999470.0,-3943038779.0,-5258030968.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-6644000000.0,-3301000000.0,-2836000000.0,-675000000.0,-2653000000.0,-565000000.0,-2516000000.0,-672000000.0,-2084000000.0,-743000000.0,-1117000000.0,-470000000.0,-2564000000.0,-280000000.0,-961000000.0,-130000000.0,-2350000000.0,-956000000.0,-956000000.0,-2539000000.0,-2733000000.0,-502000000.0,0.0,0.0,-4767000000.0,0.0,0.0,-2391000000.0,0.0,-3515000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,26000000.0,240000000.0,11000000.0,0.0,117000000.0,0.0,99000000.0,0.0,952000000.0,0.0,49000000.0,0.0,13000000.0,0.0,39000000.0,0.0,555000000.0,0.0,39000000.0,0.0,2000000.0,0.0,50995629.0,152944682.0,0.0,41938491.0,25584371.0,0.0,32397408.0,0.0,529434497.0,3408876298.0,1531359440.0,580383923.0,923032407.0,247987616.0,1429020729.0,929011923.0,861058086.0,195960163.0,122054541.0,255054037.0,512017565.0
,commonStockRepurchased,0.0,0.0,-175000000.0,0.0,-224000000.0,0.0,-106000000.0,0.0,-138000000.0,0.0,0.0,0.0,0.0,-107000000.0,-107000000.0,-143000000.0,-143000000.0,-500000000.0,-500000000.0,-894000000.0,-894000000.0,-92000000.0,-92277805.0,-560135068.0,-1241000000.0,-1545899348.0,-77916037.0,0.0,0.0,0.0,-356820817.0,-384010072.0,-662209488.0,-679364127.0,0.0,-32043344.0,-133952823.0,-161025079.0,-748977366.0,-53022865.0,-158061954.0,-462047044.0,-10053155.0
,dividendsPaid,-3107000000.0,-2966000000.0,-2828000000.0,-2512000000.0,-2639000000.0,-2305000000.0,-2431000000.0,-2169000000.0,-2319000000.0,-1893000000.0,-2027000000.0,-1795000000.0,-1922000000.0,-1683000000.0,-1816000000.0,-1520000000.0,-1638000000.0,-1318000000.0,-1796000000.0,-1201000000.0,-1677000000.0,-587000000.0,-716367169.0,-1271228523.0,-1169000000.0,-1253494874.0,-1473427143.0,-1108000000.0,-1381089513.0,-1090000000.0,-1273992013.0,-1509285489.0,-1418338109.0,-1187762448.0,-1130931713.0,-1095046440.0,-1124946390.0,-1111963821.0,-1144941369.0,-1082059195.0,-1063012973.0,-1055944056.0,-1042985902.0
,otherFinancingActivites,-146000000.0,13000000.0,-144000000.0,0.0,-94000000.0,0.0,-100000000.0,0.0,-98000000.0,0.0,-1242000000.0,0.0,-106000000.0,0.0,-374000000.0,0.0,-694000000.0,0.0,-68000000.0,0.0,-90000000.0,0.0,-350898493.0,-469758666.0,0.0,-449673812.0,-62798000.0,0.0,-100791936.0,0.0,-23186912.0,-47214354.0,62082140.0,85482904.0,56857639.0,943034057.0,11722658.0,-34945868.0,-47177529.0,-137887502.0,252051892.0,-130069930.0,27039518.0
,netCashUsedProvidedByFinancingActivities,-4135000000.0,-4202000000.0,-3198000000.0,-60000000.0,-2149000000.0,-54000000.0,-1819000000.0,-22000000.0,-2113000000.0,-108000000.0,-2440000000.0,-53000000.0,131000000.0,-45000000.0,-1507000000.0,-61000000.0,-1581000000.0,-68000000.0,-1662000000.0,-90000000.0,-4044000000.0,15000000.0,-1556580864.0,-3913993445.0,-157000000.0,-3012581547.0,-1643214327.0,-2190000000.0,-2189824814.0,0.0,-2948602344.0,3273528486.0,-1560012735.0,3708758248.0,-549045139.0,1100000000.0,-54038599.0,-703028642.0,-652031633.0,-1139991584.0,550966375.0,-181945327.0,340073954.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3642545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3147624.0,6367399.0,-29994001.0,7957176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,79000000.0,-280000000.0,-200000000.0,-161000000.0,-228000000.0,503000000.0,240000000.0,-42000000.0,47000000.0,-78000000.0,231000000.0,101000000.0,206000000.0,-13000000.0,-48000000.0,1000000.0,-596000000.0,86000000.0,86000000.0,-2375000000.0,-2375000000.0,405000000.0,405536669.0,2076670970.0,136000000.0,136300094.0,65123852.0,-342000000.0,-341972643.0,416000000.0,414788097.0,-264400378.0,308818847.0,-2135572886.0,2025028935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,224000000.0,145000000.0,425000000.0,442000000.0,625000000.0,603000000.0,853000000.0,100000000.0,613000000.0,142000000.0,566000000.0,220000000.0,335000000.0,117000000.0,127000000.0,130000000.0,175000000.0,774000000.0,774000000.0,688000000.0,688000000.0,3063000000.0,3063380282.0,2657662131.0,581000000.0,581314073.0,445400628.0,380000000.0,380369570.0,722000000.0,721370604.0,305319484.0,568290353.0,259448110.0,2394965278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,145000000.0,425000000.0,625000000.0,603000000.0,853000000.0,100000000.0,613000000.0,142000000.0,566000000.0,220000000.0,335000000.0,119000000.0,129000000.0,130000000.0,175000000.0,129000000.0,771000000.0,688000000.0,688000000.0,3063000000.0,3063000000.0,2658000000.0,2657843613.0,580991161.0,445000000.0,445013979.0,380276776.0,722000000.0,722342213.0,306000000.0,306582507.0,569719862.0,259471506.0,2395020996.0,369936343.0,2249071207.0,948963545.0,187063177.0,1367057540.0,121054846.0,236960551.0,300063573.0,307950081.0
,operatingCashFlow,7754000000.0,7958000000.0,7384000000.0,7358000000.0,7358000000.0,6643000000.0,6643000000.0,6274000000.0,6274000000.0,6241000000.0,6241000000.0,6476000000.0,6476000000.0,5552000000.0,5552000000.0,4869000000.0,4869000000.0,4724000000.0,4724000000.0,4884000000.0,4875000000.0,5912000000.0,5887566780.0,5706624292.0,5389000000.0,5314538677.0,5573903942.0,5519000000.0,5711543077.0,0.0,6378977200.0,3594586088.0,5216491563.0,2354529094.0,2597945602.0,3771981424.0,4389992852.0,4306016171.0,2367057540.0,4230046290.0,2258935663.0,4062047044.0,4932978969.0
,capitalExpenditure,-4288000000.0,-3988000000.0,-4027000000.0,0.0,-4034000000.0,0.0,-3772000000.0,0.0,-4161000000.0,0.0,-4283000000.0,0.0,-3571000000.0,0.0,-3515000000.0,0.0,-3256000000.0,0.0,-2959000000.0,0.0,-2854000000.0,0.0,-2988101020.0,-3151256331.0,0.0,-3132572227.0,-3428305617.0,0.0,-3364530838.0,0.0,-3179183305.0,-3770853006.0,-7395733843.0,-4832033594.0,-3587962963.0,-3773993808.0,-3413009292.0,-3127997807.0,-2804063267.0,-2811053444.0,-3209954991.0,-3717991100.0,-3270048532.0
,freeCashFlow,3466000000.0,3970000000.0,3357000000.0,7358000000.0,3324000000.0,6643000000.0,2871000000.0,6274000000.0,2113000000.0,6241000000.0,1958000000.0,6476000000.0,2905000000.0,5552000000.0,2037000000.0,4869000000.0,1613000000.0,4724000000.0,1765000000.0,4884000000.0,2021000000.0,5912000000.0,2899465760.0,2555367961.0,5389000000.0,2181966450.0,2145598325.0,5519000000.0,2347012239.0,0.0,3199793895.0,-176266918.0,-2179242280.0,-2477504500.0,-990017361.0,-2012384.0,976983560.0,1178018364.0,-437005727.0,1418992846.0,-951019328.0,344055944.0,1662930437.0
