date,,2020-10-03_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2017-09-28_FY,2016-10-01_FY,2015-10-03_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-10-01_FY,2011-09-30_FY,2010-10-02_FY,2009-10-03_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-10-01_FY,2004-10-02_FY,2003-09-27_FY,2002-09-30_FY,2002-09-28_FY,2001-09-30_FY,2001-09-29_FY,2000-09-30_FY,1999-10-02_FY,1998-09-26_FY,1997-09-27_FY,1996-09-28_FY,1995-09-30_FY,1994-10-01_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,costAndExpenses,1659179000.0,1347545000.0,1509556000.0,1400316000.0,1397816000.0,729771000.0,701713000.0,717800000.0,725200000.0,680300000.0,684300000.0,690825000.0,548200000.0,471000000.0,576700000.0,590000000.0,543342000.0,480500000.0,468900000.0,469000000.0,397487000.0,397487000.0,441141000.0,443612000.0,512054000.0,450800000.0,386300000.0,348700000.0,319700000.0,255600000.0,199100000.0,183000000.0,210100000.0,205800000.0,188300000.0,189300000.0,186700000.0,156000000.0,137400000.0,122800000.0
,interestExpense,17037000.0,-28437000.0,25847000.0,34362000.0,34362000.0,1346000.0,48000.0,72000.0,164000.0,86000.0,147000.0,147000.0,256000.0,228000.0,152000.0,10849000.0,0.0,1839000.0,3138000.0,3878000.0,0.0,5315000.0,0.0,5089000.0,0.0,-1800000.0,200000.0,-1300000.0,3600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,46705000.0,116385000.0,113381000.0,16024000.0,50891000.0,34355000.0,33059000.0,36200000.0,36200000.0,29600000.0,28600000.0,8082000.0,29700000.0,26700000.0,32000000.0,34000000.0,9207000.0,35300000.0,36200000.0,34100000.0,3427000.0,24078000.0,5262000.0,20335000.0,26158000.0,19900000.0,17200000.0,14600000.0,12400000.0,9000000.0,7900000.0,7300000.0,7900000.0,8200000.0,7700000.0,7300000.0,7000000.0,4900000.0,4400000.0,2400000.0
,EBITDA,-383475000.0,199480000.0,506398000.0,339019000.0,376386000.0,161969000.0,133806000.0,113100000.0,121100000.0,118400000.0,147100000.0,120091000.0,86600000.0,-8500000.0,54600000.0,45100000.0,50517000.0,71100000.0,62300000.0,-28700000.0,3264000.0,23915000.0,42066000.0,54668000.0,82376000.0,38000000.0,41300000.0,56900000.0,57100000.0,38900000.0,24200000.0,21200000.0,13200000.0,10200000.0,10600000.0,19600000.0,8400000.0,7900000.0,5200000.0,11300000.0
,EBITDARatio,-0.312022222963566,0.139434099424034,0.266164819956974,0.196725373423601,0.218408633148631,0.188910466126653,0.16674475986342,0.142335766423358,0.149487717565733,0.153946170849044,0.183233682112606,0.149583849214159,0.143116840191704,-0.0194998852947924,0.0911062906724512,0.0750166333998669,0.0864052461977381,0.137710633352702,0.125858585858586,-0.0706548498276711,0.00821495806948485,0.0601901722523683,0.0880143112701252,0.114381361872182,0.144958752146859,0.0810407336319045,0.100633528265107,0.145524296675192,0.156695938529089,0.136252189141856,0.112349117920149,0.107668867445404,0.0612813370473538,0.0490856592877767,0.0554393305439331,0.0972222222222222,0.0446570972886762,0.049685534591195,0.0376266280752533,0.0858010630220197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-430180000.0,83095000.0,393017000.0,322995000.0,325495000.0,127614000.0,100747000.0,76900000.0,84900000.0,88800000.0,118500000.0,112009000.0,56900000.0,-35200000.0,22600000.0,11100000.0,41310000.0,35800000.0,26100000.0,-62800000.0,-163000.0,-163000.0,36804000.0,34333000.0,56218000.0,18100000.0,24100000.0,42300000.0,44700000.0,29900000.0,16300000.0,13900000.0,5300000.0,2000000.0,2900000.0,12300000.0,1400000.0,3000000.0,800000.0,8900000.0
,operatingIncomeRatio,-0.350024694893975,0.0580823966895935,0.206571311586993,0.187426993734735,0.188877689517446,0.148840952430938,0.125547690850634,0.0967782532091618,0.104801876311566,0.115459628136783,0.147608370702541,0.139517010988573,0.0940340439596761,-0.0807524661619638,0.0377106624395128,0.0184630738522954,0.0706574167196897,0.0693395312802634,0.0527272727272727,-0.154603643525357,-0.000410244535945475,-0.000410244535945475,0.0770046762702822,0.0718346253229974,0.0989279781513078,0.0386009810194071,0.0587231968810916,0.108184143222506,0.122667398463227,0.104728546409807,0.0756731662024141,0.0705942102590147,0.0246053853296193,0.00962463907603465,0.0151673640167364,0.0610119047619048,0.00744284954811271,0.0188679245283019,0.00578871201157742,0.067577828397874
,totalOtherIncomeExpensesNet,0.0,5390000.0,4765000.0,12332000.0,-23440000.0,57000.0,4341000.0,3100000.0,200000.0,400000.0,-100000.0,11058000.0,100000.0,2500000.0,2100000.0,400000.0,-5820000.0,2200000.0,2800000.0,6200000.0,-113177000.0,-97419000.0,-1824000.0,8849000.0,56527000.0,-100000.0,-600000.0,2200000.0,1000000.0,3100000.0,400000.0,2200000.0,1900000.0,2500000.0,1900000.0,6400000.0,1000000.0,1900000.0,600000.0,3200000.0
,incomeBeforeTax,-442723000.0,60048000.0,361555000.0,302055000.0,302055000.0,122896000.0,99568000.0,79200000.0,83500000.0,90600000.0,123800000.0,123829000.0,58000000.0,-35900000.0,37300000.0,28900000.0,46181000.0,41400000.0,27300000.0,-57400000.0,-97582000.0,-97582000.0,43182000.0,43182000.0,110464000.0,16200000.0,23700000.0,46800000.0,49300000.0,31800000.0,16800000.0,14100000.0,5400000.0,3100000.0,3800000.0,17400000.0,2400000.0,3000000.0,2500000.0,11200000.0
,incomeBeforeTaxRatio,-0.36023056161966,0.0419728233517866,0.190034758193247,0.175275965858745,0.175275965858745,0.143338173632615,0.124078458739376,0.0996727913415555,0.103073694605604,0.117800026004421,0.154210264075735,0.154239855312555,0.095851925301603,-0.0823583390685937,0.0622392791590189,0.0480705256154358,0.0789888685919145,0.0801859384079024,0.0551515151515152,-0.141309699655342,-0.245598050960929,-0.245598050960929,0.090349307974767,0.090349307974767,0.194385787087873,0.0345489443378119,0.0577485380116959,0.119693094629156,0.135290889132821,0.11138353765324,0.0779944289693593,0.0716099542915185,0.0250696378830084,0.0149181905678537,0.0198744769874477,0.0863095238095238,0.0127591706539075,0.0188679245283019,0.0180897250361794,0.085041761579347
,incomeTaxExpense,-28584000.0,6223000.0,114195000.0,93411000.0,93411000.0,35394000.0,23159000.0,20113000.0,17141000.0,27660000.0,30591000.0,30591000.0,21063000.0,-536000.0,13884000.0,12972000.0,787000.0,1750000.0,10890000.0,-6640000.0,-27172000.0,-27172000.0,15156000.0,15156000.0,40527000.0,4400000.0,4900000.0,20500000.0,19000000.0,12500000.0,6400000.0,4800000.0,2800000.0,2900000.0,4200000.0,8800000.0,3700000.0,4100000.0,3400000.0,4700000.0
,netIncome,-414139000.0,53825000.0,247358000.0,207122000.0,207122000.0,87502000.0,76409000.0,59100000.0,66400000.0,63000000.0,93200000.0,93238000.0,36900000.0,-35300000.0,23400000.0,16000000.0,45394000.0,39900000.0,17400000.0,-45900000.0,-68968000.0,-68968000.0,100750000.0,100750000.0,69937000.0,11800000.0,18800000.0,26300000.0,30300000.0,19300000.0,11500000.0,10500000.0,2600000.0,200000.0,-400000.0,8600000.0,-1300000.0,-1100000.0,-900000.0,6500000.0
,netIncomeRatio,-0.336972609416281,0.0376230218643404,0.130012356950298,0.120188404762692,0.120188404762692,0.102056835610607,0.0952184532562371,0.0743770450541153,0.0819651894827799,0.0819139253673124,0.116093672147484,0.116136087908584,0.0609816559246406,-0.0809818765771966,0.0390455531453362,0.0266134397870925,0.0776427686897505,0.0772806507844277,0.0351515151515151,-0.112998522895126,-0.173581258620169,-0.173581258620169,0.210798313613491,0.210798313613491,0.123069586395247,0.0251652804435914,0.0458089668615984,0.0672634271099744,0.0831503841931943,0.067600700525394,0.05338904363974,0.05332656170645,0.0120705663881151,0.000962463907603465,-0.00209205020920502,0.0426587301587302,-0.00691121743753323,-0.00691823899371069,-0.0065123010130246,0.0493545937737282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-17.1806264260527,2.23173563313708,10.0666612404363,8.46,8.45844733940458,3.62447187474111,3.08673345721904,2.38691437802908,2.75084928328776,2.6739102754552,3.6549,3.74,1.49283922647463,-1.45267,0.850754408289402,0.509586597872476,1.47,1.29730784237222,0.576559859504954,-1.56122,-2.4,-2.39589,3.64,3.63600274279115,2.77,0.47967,0.79325,1.11915,1.31169,0.875,0.55556,0.53,0.14,0.01,-0.03,0.47,-0.08,-0.07,-0.06,0.41
,EPSDiluted,-17.1806264260527,2.21693644713538,9.95364371655064,8.36,8.35944626064495,3.58394429653901,3.05733834827145,2.35683522092838,2.70413357768275,2.62215932739532,3.6549,3.66,1.47064684548244,-1.45267,0.834105653382762,0.499625281039221,1.44,1.27716782433341,0.569669984284966,-1.56122,-2.4,-2.39589,3.5,3.496200159628,2.56,0.47967,0.79325,1.11915,1.31169,0.875,0.55556,0.53,0.14,0.01,-0.03,0.47,-0.08,-0.07,-0.06,0.41
,weightedAverageShsOut,24105000.0,24118000.0,24572000.0,24487000.0,24487000.0,24142000.0,24754000.0,24760000.0,24138000.0,23561000.0,25500000.0,24924000.0,24718000.0,24281000.0,27505000.0,31398000.0,30973000.0,30756000.0,30179000.0,29448000.0,28786000.0,28786000.0,27709000.0,27709000.0,25252000.0,24600000.0,23700000.0,23500000.0,23100000.0,22057143.0,20700000.0,19811321.0,18571429.0,20000000.0,13333333.0,18297872.0,16250000.0,15714286.0,15000000.0,15853659.0
,weightedAverageShsOutDil,24105000.0,24279000.0,24851000.0,24777000.0,24777000.0,24415000.0,24992000.0,25076000.0,24555000.0,24026000.0,25500000.0,25464000.0,25091000.0,24281000.0,28054000.0,32024000.0,31567000.0,31241000.0,30544000.0,29448000.0,28786000.0,28786000.0,28817000.0,28817000.0,27319000.0,24600000.0,23700000.0,23500000.0,23100000.0,22057143.0,20700000.0,19811321.0,18571429.0,20000000.0,13333333.0,18297872.0,16250000.0,15714286.0,15000000.0,15853659.0
