date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2007-03-29_FY,2006-12-31_FY,2006-03-29_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,operatingExpenses,12673000000.0,14200000000.0,9703000000.0,14407000000.0,14777000000.0,15070000000.0,12163000000.0,13168000000.0,13639000000.0,12033000000.0,14849000000.0,14223000000.0,12014000000.0,47895000000.0,47895000000.0,43005000000.0,43005000000.0,43976000000.0,16734270800.0,15990176140.0,19131825720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,41357000000.0,0.0,18191000.0,15336000.0,14568000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016000000.0,9000000.0,6000000.0,34234000000.0,30547000000.0,32742001380.2,9437000000.0,10031000000.0,0.0,46340000000.0,66072026584.9683,38535567328.8469,34274823172.0475,44136520878.7939,42377765746.4808,34673914518.8207,34541959007.5512,33836554109.2243,28254406822.077,32321363721.4176,31963337159.0602,27465441254.8139,26351257297.8233,23816148614.468,23590798557.1095,27009885439.3269
,interestExpense,712000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590000000.0,0.0,723000349.4,0.0,0.0,0.0,1646000000.0,1609291088.69638,474259172.382555,365152759.565109,512463945.645705,535243055.793403,472409790.469127,451312227.381455,495802822.318206,446829053.736369,624898338.385539,665814879.827167,563719496.148909,361039534.380856,299320780.169749,291585642.05671,316161093.743247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2018000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982000000.0,0.0,868999708.0,0.0,0.0,0.0,2845000000.0,2398754641.64177,1191274734.69652,883160162.669101,1106080539.57548,1168178288.86529,959281105.136288,933221893.907415,894831296.964677,699111749.806622,732543018.599603,644700243.046179,535330744.544288,521501549.661237,487835309.988196,548623222.25836,560983274.026479
,EBITDA,11385000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6390000000.0,5000000.0,6527998308.2,0.0,0.0,0.0,8711000000.0,11454812513.4096,6052833166.17057,4955038028.05212,1702702787.14541,4914879679.41912,4266149638.42018,4212247455.56025,3995587450.44672,3446608375.16873,792656281.576288,682706589.251958,638070988.446727,578588997.405219,2696765105.95245,643975872.978327,616108798.063763
,EBITDARatio,0.22444996451384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161192674436204,0.0,0.169995529062574,0.0,0.0,0.0,0.166858215530782,0.152470445589573,0.139475438986441,0.129216800767698,0.0380635624538064,0.106556888013842,0.112323898971951,0.1113732892874,0.108172127911567,0.111174089068826,0.0244786944696283,0.0213336852291722,0.0231451968812828,0.0219093246085534,0.113232628398792,0.0271878646441073,0.0227640328281315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,9367000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5408000000.0,5000000.0,5658998600.2,0.0,0.0,0.0,5866000000.0,9056057871.76783,4861558431.47405,4071877865.38302,596622247.569927,3746701390.55382,3306868533.28389,3279025561.65283,3100756153.48204,2747496625.36211,60113262.976685,38006346.205779,102740243.902439,57087447.743982,0.0,95352650.719967,55125524.037284
,operatingIncomeRatio,0.184666035801593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136420967660562,0.0,0.147365917634655,0.0,0.0,0.0,0.112362563689997,0.120541578256037,0.112024894420982,0.106185871410644,0.0133373647786065,0.0812302368593759,0.0870668866607437,0.0866985774961235,0.0839464522843915,0.0886234817813765,0.00185640892803177,0.001187648456057,0.00372676898935909,0.00216172002804395,0.0801812688821752,0.00402567094515753,0.00203678188462229
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,7996000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4831000000.0,0.0,4516000195.8,0.0,0.0,0.0,3624000000.0,4299033898.89174,4597902484.79358,4366264586.27272,7091839763.93573,3655888944.0696,2794689551.27016,3038070728.38985,2554577643.33471,2546674578.73902,2505185284.98185,2508418849.58142,2302192570.60334,2243382405.93917,1909609015.7945,1579537388.01336,1545136011.98623
,incomeBeforeTaxRatio,0.157637410298872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121865697997074,0.0,0.117601109296763,0.0,0.0,0.0,0.0694173083553615,0.0572227274258193,0.105949470252649,0.113862847862996,0.158536585365854,0.0792613805858839,0.0735816728011169,0.0803276478123104,0.0691598176793597,0.0821457489878543,0.0773647627682079,0.0783847980997625,0.083509047222086,0.0849497546155644,0.0801812688821752,0.0666861143523921,0.057089798118972
,incomeTaxExpense,1923000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146000000.0,0.0,1181000554.6,0.0,0.0,0.0,1547000000.0,2214040412.90775,1450107706.74259,1436550585.1108,1940149424.71732,1329163989.45097,941204199.888745,971468692.838047,768892077.39187,861024524.896486,815024007.335055,862884823.116392,882754990.372272,893341411.993657,768448541.397336,610809733.597469,643671560.082405
,netIncome,5581000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4745000000.0,0.0,3765999815.2,0.0,0.0,0.0,1838000000.0,1745929011.32154,2933976235.92597,2792427886.13163,5005916137.6711,2215273315.75162,1775152095.30873,1987558651.09516,1718076090.17218,1620382888.69003,1611874237.49111,1290808128.54442,1342382397.30424,1286781930.22921,1122452925.63656,917596522.870406,836610894.2129
,netIncomeRatio,0.110026811765634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119696281721407,0.0,0.0980703579886508,0.0,0.0,0.0,0.0352066812243803,0.0232393654642821,0.067607616507372,0.0728205506754263,0.111906201706645,0.0480281606109421,0.0467381647417185,0.0525517427357918,0.0465132972041776,0.0522672064777328,0.0497776626516427,0.0403360605260843,0.0486931790320208,0.0487263379294228,0.0471299093655589,0.0387397899649942,0.0309111603666208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,2.13259457393963,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.105158,0.094144,0.096158,1.65,0.0,2.866667,0.0,0.0,0.0,0.623360414578765,0.551305,0.928869,0.933483,1.671945,0.735428,0.589388,0.663171,0.573281,0.539654,0.538347,0.431812,0.448865,0.430971,0.376507,0.306962,0.27987
,EPSDiluted,2.13259457393963,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.105158,0.094144,0.096158,1.6,0.0,2.777778,0.0,0.0,0.0,0.606594654178341,0.537169,0.907434,0.908825,1.634542,0.735428,0.589388,0.663171,0.573281,0.539654,0.538347,0.431812,0.448865,0.430971,0.376507,0.306962,0.27987
,weightedAverageShsOut,2617000000.0,2617000000.0,2683000000.0,2802000000.0,2840000000.0,2838000000.0,2841000000.0,2838000000.0,2829000000.0,2883258000.0,2883258000.0,2883258000.0,2883258000.0,2883258000.0,2883258000.0,2883258000.0,1310836500.0,1310836500.0,2948535000.0,2948535000.0,2948535000.0,2948535000.0,2967651900.0,3135547800.0,2989726396.0,2987496888.0,3024658444.0,3024391658.0,3021196659.0,3017736481.0,3013946839.0,2994116306.0,2989285236.0,2990615950.0,2985775236.0,2981230237.0,2989285236.0,2989285236.0
,weightedAverageShsOutDil,2617000000.0,2617000000.0,2683000000.0,2802000000.0,2840000000.0,2838000000.0,2841000000.0,2838000000.0,2829000000.0,2883258000.0,2883258000.0,2883258000.0,2883258000.0,2883258000.0,2883258000.0,2972468000.0,1310836500.0,1353109050.0,2948535000.0,2948535000.0,2948535000.0,3030030000.0,3042824850.0,3215134350.0,3064711652.0,3060003528.0,3024658444.0,3024391658.0,3021196659.0,3017736481.0,3013946839.0,2994116306.0,2989285236.0,2990615950.0,2985775236.0,2981230237.0,2989285236.0,2989285236.0
