date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-09-30_FY,2015-06-30_FY,2015-03-31_FY,2014-12-31_FY,2014-09-30_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,acquisitionsNet,0.0,-425000000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-38233000.0,-2201000.0,-271639000.0,-182054000.0,-206022000.0,-501256000.0,-0.0,-0.0,-0.0,-386415000.0,-0.0,-0.0,-0.0,-33294000.0,-0.0,-0.0,-1780272000.0,-808647000.0,-6339926000.0,-12608374000.0,-4200774000.0,-3600101000.0,-1315025000.0,-11100000.0,-2268990000.0,-2037125000.0,-1917576000.0,-951427000.0,-1141057000.0,-385733000.0,-521600000.0,-297000000.0,-82200000.0,-211600000.0,-163800000.0,-126200000.0,-73200000.0,-64500000.0,-49400000.0,-78300000.0
,salesMaturitiesOfInvestments,890642000.0,846149000.0,216129000.0,450891000.0,547960000.0,381144000.0,0.0,0.0,0.0,768178000.0,0.0,0.0,0.0,716003000.0,0.0,0.0,3991279000.0,1510318000.0,6713731000.0,12964201000.0,3820751000.0,2165283000.0,1778933000.0,0.0,1939123000.0,1363017000.0,1743153000.0,717368000.0,1013906000.0,217208000.0,334700000.0,174700000.0,141100000.0,128000000.0,173600000.0,100700000.0,35500000.0,48100000.0,45300000.0,60300000.0
,otherInvestingActivites,45392000.0,2165000.0,1351000.0,-13327000.0,11882000.0,96141000.0,526196000.0,553535000.0,678902000.0,109765000.0,671239000.0,596485000.0,624636000.0,61061000.0,748313000.0,561446000.0,97580000.0,-107515000.0,128903000.0,0.0,-45194000.0,63786000.0,-251682000.0,0.0,-150676000.0,-25917000.0,-158874000.0,-102009000.0,-118235000.0,-125107000.0,-103200000.0,-112400000.0,-202000000.0,-61400000.0,-69100000.0,-72400000.0,-32800000.0,-20800000.0,-23400000.0,-12800000.0
,netCashUsedForInvestingActivites,881082000.0,842173000.0,-488767000.0,187304000.0,568061000.0,153042000.0,526196000.0,553535000.0,678902000.0,559859000.0,671239000.0,596485000.0,624636000.0,787265000.0,748313000.0,561446000.0,2224388000.0,857852000.0,678794000.0,389305000.0,-426802000.0,-1378057000.0,201673000.0,-282000000.0,-484616000.0,-707385000.0,-337755000.0,-342540000.0,-249180000.0,-297296000.0,-295100000.0,-237400000.0,-146800000.0,-149400000.0,-62500000.0,-99600000.0,-71100000.0,-38100000.0,-30100000.0,-35200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-350322000.0,-0.0,-0.0,-105000000.0,-2540000.0,-822679000.0,-1424580000.0,-2121370000.0,-5146520000.0,-4870808000.0,0.0,-2204272000.0,-564200000.0,0.0,-45000000.0,-26500000.0,-20000000.0,-8100000.0,-400000.0,-34500000.0,-400000.0,-12200000.0,-1400000.0,-13500000.0,-3800000.0,-25000000.0,-900000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49220000.0,0.0,94386000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-2226000.0,0.0,0.0,0.0,0.0,-8950000.0,-526196000.0,-553535000.0,-678902000.0,-16948000.0,-671239000.0,-596485000.0,-624636000.0,-41000.0,-748313000.0,-561446000.0,-7022000.0,-58775000.0,0.0,-182000.0,0.0,0.0,0.0,-5100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-20893000.0,-20884000.0,-24820000.0,-24415000.0,-24003000.0,-31623000.0,-0.0,-0.0,-0.0,-28341000.0,-0.0,-0.0,-0.0,-24651000.0,-0.0,-0.0,-20005000.0,-13956000.0,-12153000.0,-8690000.0,-18410000.0,-18413000.0,-18555000.0,-9400000.0,-17919000.0,-15014000.0,-11395000.0,-10039000.0,-9920000.0,-10059000.0,-7300000.0,-5200000.0,-4000000.0,-3200000.0,-1700000.0,-300000.0,0.0,0.0,0.0,-100000.0
,otherFinancingActivites,0.0,0.0,508000.0,0.0,0.0,0.0,526196000.0,553535000.0,678902000.0,0.0,671239000.0,596485000.0,624636000.0,1108000.0,748313000.0,561446000.0,-38714000.0,5401000.0,-47147000.0,20341000.0,1427352000.0,1620000.0,10459000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,-100000.0,100000.0,0.0,-100000.0,-800000.0,-1100000.0
,netCashUsedProvidedByFinancingActivities,510359000.0,-549096000.0,317242000.0,-363980000.0,-672843000.0,-286842000.0,0.0,0.0,0.0,-782701000.0,0.0,0.0,0.0,-1126308000.0,0.0,0.0,-1997420000.0,-667020000.0,-483068000.0,-134560000.0,418693000.0,1466837000.0,-126053000.0,263300000.0,516454000.0,749842000.0,395397000.0,337705000.0,171250000.0,256460000.0,259800000.0,217900000.0,172800000.0,118800000.0,71300000.0,119000000.0,71000000.0,27300000.0,38800000.0,31900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1302820000.0,402694000.0,-38170000.0,-25236000.0,-26270000.0,-36718000.0,526196000.0,553535000.0,678902000.0,-47842000.0,671239000.0,596485000.0,624636000.0,-165227000.0,748313000.0,561446000.0,277208000.0,156541000.0,171823000.0,210751000.0,-22611000.0,49913000.0,16801000.0,-7400000.0,7652000.0,-66000.0,6785000.0,-19575000.0,-3946000.0,-2100000.0,16600000.0,-11500000.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,2155577000.0,852757000.0,450063000.0,485203000.0,510439000.0,536709000.0,526196000.0,553535000.0,678902000.0,573427000.0,671239000.0,596485000.0,624636000.0,703468000.0,748313000.0,561446000.0,868695000.0,605477000.0,448946000.0,277123000.0,66372000.0,88983000.0,34070000.0,-7400000.0,24683000.0,17031000.0,17097000.0,10312000.0,29887000.0,33833000.0,36100000.0,14500000.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,852757000.0,450063000.0,488233000.0,510439000.0,536709000.0,573427000.0,0.0,0.0,0.0,621269000.0,0.0,0.0,0.0,868695000.0,0.0,0.0,591487000.0,448936000.0,277123000.0,66372000.0,88983000.0,39070000.0,17269000.0,0.0,17031000.0,17097000.0,10312000.0,29887000.0,33833000.0,35933000.0,19500000.0,26000000.0,17000000.0,27700000.0,21200000.0,14800000.0,8500000.0,17600000.0,3500000.0,3700000.0
,operatingCashFlow,-88621000.0,109617000.0,133355000.0,151440000.0,78512000.0,97082000.0,0.0,0.0,0.0,175000000.0,0.0,0.0,0.0,173816000.0,0.0,0.0,50240000.0,-34291000.0,-23903000.0,-43994000.0,-14502000.0,-38867000.0,-58819000.0,11300000.0,-24186000.0,-42523000.0,-50857000.0,-14740000.0,73984000.0,38736000.0,51900000.0,7900000.0,-16900000.0,19800000.0,-2400000.0,-11000000.0,6400000.0,1700000.0,5300000.0,3100000.0
,capitalExpenditure,-15263000.0,51481000.0,51057000.0,40051000.0,46358000.0,74940000.0,0.0,0.0,0.0,54639000.0,0.0,0.0,0.0,57449000.0,0.0,0.0,18159000.0,-3081000.0,7886000.0,-4636000.0,-1585000.0,-7025000.0,-10553000.0,-2800000.0,-4073000.0,-7360000.0,-2866000.0,-6472000.0,-3794000.0,-3664000.0,-5000000.0,-2700000.0,-3700000.0,-4400000.0,-3200000.0,-1700000.0,-600000.0,-900000.0,-2600000.0,-4400000.0
,freeCashFlow,-103884000.0,96651000.0,121864000.0,144971000.0,73215000.0,91799000.0,0.0,0.0,0.0,167091000.0,0.0,0.0,0.0,164696000.0,0.0,0.0,48313000.0,-37372000.0,-33877000.0,-48630000.0,-16087000.0,-45892000.0,-69372000.0,8500000.0,-28259000.0,-49883000.0,-53723000.0,-21212000.0,70190000.0,35072000.0,46900000.0,5200000.0,-20600000.0,15400000.0,-5600000.0,-12700000.0,5800000.0,800000.0,2700000.0,-1300000.0
