date,,2021-01-03_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2017-01-01_FY,2016-01-03_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2012-01-01_FY,2011-01-02_FY,2010-03-12_FY,2010-01-03_FY,2009-02-23_FY,2008-12-28_FY,2008-02-27_FY,2007-12-30_FY,2007-03-07_FY,2006-12-31_FY,2006-01-01_FY,2005-01-02_FY,2004-12-31_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,2000-01-02_FY,1999-01-03_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1995-01-01_FY,1994-01-02_FY,1993-01-03_FY,1991-12-29_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,operatingExpenses,333229000.0,394551000.0,347978000.0,268878000.0,281491000.0,269296000.0,281721000.0,247100000.0,252600000.0,249000000.0,264400000.0,218322000.0,220000000.0,258198000.0,330400000.0,246258000.0,248100000.0,241538000.0,262250000.0,181600000.0,204600000.0,204619000.0,191800000.0,198300000.0,313600000.0,348573000.0,305700000.0,343700000.0,281800000.0,238900000.0,217800000.0,170400000.0,151600000.0,149500000.0,150100000.0,174900000.0,152700000.0,99000000.0,8300000.0,39400000.0,35100000.0,28200000.0,19100000.0
,costAndExpenses,1025917000.0,1212126000.0,1103194000.0,879300000.0,871464000.0,888270000.0,945597000.0,866000000.0,867400000.0,867300000.0,813600000.0,795193000.0,796900000.0,968497000.0,1040700000.0,950009000.0,951900000.0,977785000.0,998497000.0,709200000.0,820900000.0,820916000.0,735100000.0,720400000.0,1059900000.0,1193892000.0,1151800000.0,1191400000.0,1037500000.0,923400000.0,740500000.0,674500000.0,578900000.0,553600000.0,543800000.0,564000000.0,517900000.0,350900000.0,233700000.0,124000000.0,112100000.0,98200000.0,68600000.0
,interestExpense,-29244000.0,25656000.0,15436000.0,7128000.0,6130000.0,6401000.0,20785000.0,23810000.0,25024000.0,-26300000.0,-33129000.0,-34297000.0,-34300000.0,-31480000.0,-31500000.0,-34110000.0,-34100000.0,-42204000.0,42204000.0,-45541000.0,-46000000.0,0.0,-42820000.0,-42000000.0,-35900000.0,38500000.0,-39400000.0,-36700000.0,-35000000.0,-32800000.0,0.0,-24100000.0,-22800000.0,-21900000.0,-23300000.0,0.0,0.0,0.0,0.0,0.0,0.0,-800000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,45920000.0,50835000.0,44471000.0,30261000.0,30632000.0,30803000.0,30677000.0,24700000.0,25900000.0,25200000.0,25100000.0,0.0,23400000.0,0.0,23700000.0,0.0,22500000.0,0.0,31163000.0,20400000.0,33300000.0,33336000.0,34100000.0,32700000.0,46400000.0,50625000.0,45800000.0,42600000.0,38600000.0,35300000.0,28900000.0,28200000.0,24500000.0,22300000.0,19700000.0,21600000.0,17200000.0,11600000.0,8300000.0,3200000.0,2500000.0,0.0,0.0
,EBITDA,6633000.0,181738000.0,120850000.0,147404000.0,117785000.0,144396000.0,88983000.0,118700000.0,90500000.0,110900000.0,73800000.0,62994000.0,86400000.0,41659000.0,65400000.0,129391000.0,151900000.0,72362000.0,108508000.0,98100000.0,94000000.0,94078000.0,65500000.0,57600000.0,45300000.0,140681000.0,122200000.0,132300000.0,136400000.0,114000000.0,90500000.0,79000000.0,70700000.0,62700000.0,57700000.0,81100000.0,81100000.0,57400000.0,41600000.0,16600000.0,13800000.0,8200000.0,11900000.0
,EBITDARatio,0.00601217117964726,0.135319490494993,0.102452328088215,0.147930187677569,0.122869717520136,0.144127490485226,0.088637049595429,0.123645833333333,0.0971030042918455,0.116369359916055,0.0855850632030616,0.073258377835253,0.100476799627864,0.0384896114359206,0.0604268687055345,0.119665431394292,0.140479052991769,0.0672608059547777,0.100858676274025,0.124666412504766,0.106612226380855,0.106705774801567,0.0854533594259622,0.0772843150409231,0.0427842840952021,0.109569079121584,0.0994951962221137,0.103270626805089,0.120144455210077,0.113761101686458,0.112828824336118,0.108920446711706,0.113101903695409,0.105537788251136,0.0991749742179443,0.130072173215718,0.139394981093159,0.144693723216536,0.155805243445693,0.120815138282387,0.111831442463533,0.076421,0.148564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-39287000.0,130903000.0,76379000.0,117143000.0,87153000.0,113593000.0,58306000.0,94000000.0,64600000.0,85700000.0,48700000.0,62994000.0,63000000.0,41659000.0,41700000.0,129391000.0,129400000.0,72362000.0,77345000.0,77700000.0,60700000.0,60742000.0,31400000.0,24900000.0,-1100000.0,90056000.0,76400000.0,89700000.0,97800000.0,78700000.0,61600000.0,50800000.0,46200000.0,40400000.0,38000000.0,59500000.0,63900000.0,45800000.0,33300000.0,13400000.0,11300000.0,9100000.0,11500000.0
,operatingIncomeRatio,-0.0356098551386706,0.097468483554711,0.0647513973276771,0.117561165064133,0.0909153499259871,0.113381769762932,0.0580793164279816,0.0979166666666667,0.06931330472103,0.0899265477439664,0.0564768642003943,0.073258377835253,0.0732643330619839,0.0384896114359206,0.0385290584865564,0.119665431394292,0.119670766669749,0.0672608059547777,0.0718925269695736,0.0987418985894015,0.0688442780991267,0.0688951951890642,0.0409654272667971,0.0334093653562324,-0.00103891197582168,0.0701399122082826,0.0622048526298648,0.0700179533213645,0.086144631374967,0.0785350763396867,0.0767984041890039,0.070039983455122,0.0739081746920493,0.0680020198619761,0.0653145410794087,0.0954290296712109,0.109831557236164,0.115452482984623,0.124719101123596,0.0975254730713246,0.0915721231766613,0.0848089468779124,0.143570536828964
,totalOtherIncomeExpensesNet,0.0,-3431000.0,-5952000.0,-9476000.0,-1887000.0,-1426000.0,-1779000.0,-1100000.0,-1500000.0,-500000.0,-600000.0,0.0,-6700000.0,0.0,-1700000.0,0.0,-700000.0,0.0,-27014000.0,-800000.0,-4200000.0,-4235000.0,-1100000.0,300000.0,-500000.0,-21717000.0,900000.0,-3900000.0,-1500000.0,-2500000.0,-3100000.0,-1000000.0,-2000000.0,0.0,-400000.0,3400000.0,600000.0,-400000.0,-900000.0,5100000.0,1400000.0,700000.0,400000.0
,incomeBeforeTax,-79420000.0,101816000.0,54991000.0,100539000.0,79136000.0,105766000.0,35742000.0,69000000.0,38100000.0,58900000.0,14900000.0,22025000.0,22000000.0,7321000.0,8500000.0,93430000.0,94600000.0,28839000.0,28839000.0,31400000.0,10500000.0,10484000.0,-12600000.0,-16800000.0,-37500000.0,29839000.0,38000000.0,49100000.0,61300000.0,43400000.0,31600000.0,25700000.0,21300000.0,18600000.0,14300000.0,37700000.0,40600000.0,34100000.0,25400000.0,14900000.0,12700000.0,9000000.0,11800000.0
,incomeBeforeTaxRatio,-0.0719865272256273,0.0758107233723174,0.0466194122788501,0.100897893808276,0.0825522601831597,0.105569324348738,0.0356030413296902,0.071875,0.0408798283261803,0.0618048268625394,0.0172793691290734,0.0256138008670897,0.0255843702756134,0.0067640232680183,0.00785364501524531,0.0864074105244466,0.0874872838250254,0.0268059808038727,0.0268059808038727,0.0399034184775702,0.0119088125212657,0.0118912322011483,-0.0164383561643836,-0.0225412585536026,-0.0354174537211938,0.0232400377585385,0.030939586386582,0.0383264382171571,0.0539945388883995,0.0433090509929149,0.0393965839670864,0.0354336136770991,0.0340745480723084,0.0313078606295236,0.0245788930904091,0.0604651162790698,0.0697834307322104,0.0859591630955382,0.0951310861423221,0.10844250363901,0.10291734197731,0.0838769804287046,0.147315855181024
,incomeTaxExpense,-7491000.0,22616000.0,4738000.0,47293000.0,24974000.0,33348000.0,10934000.0,-1900000.0,15204000.0,21237000.0,4494000.0,9352000.0,9400000.0,43040000.0,43000000.0,35582000.0,35600000.0,18816000.0,18816000.0,17561000.0,4000000.0,4044000.0,-4600000.0,-6200000.0,-11500000.0,12518000.0,14400000.0,19300000.0,23800000.0,17000000.0,11300000.0,9300000.0,7500000.0,6300000.0,5400000.0,14100000.0,16100000.0,13900000.0,11700000.0,6300000.0,4700000.0,4100000.0,5800000.0
,netIncome,-71929000.0,79200000.0,50253000.0,53246000.0,54162000.0,72418000.0,24808000.0,48300000.0,5900000.0,38700000.0,8300000.0,11764000.0,10900000.0,-40873000.0,-40900000.0,-10812000.0,-10800000.0,9992000.0,9992000.0,1200000.0,-55400000.0,-55402000.0,-33300000.0,-87700000.0,-36300000.0,17321000.0,23500000.0,29800000.0,37500000.0,26400000.0,16800000.0,16500000.0,13800000.0,12300000.0,8900000.0,23600000.0,24500000.0,20200000.0,13700000.0,8600000.0,8000000.0,4900000.0,6100000.0
,netIncomeRatio,-0.065196662261548,0.0589711763483886,0.0426027045379981,0.0534360721084899,0.0565001455221428,0.0722833361447623,0.0247115508171606,0.0503125,0.00633047210300429,0.0406086044071354,0.00962542038733619,0.013680851459725,0.0126758925456448,-0.0377634097846895,-0.0377898918968863,-0.00999932486985248,-0.0099879774345695,0.00928760914706806,0.00928760914706806,0.00152497140678612,-0.0628331632074402,-0.0628384248767663,-0.0434442270058708,-0.117670736616128,-0.0342840952021156,0.0134904217304751,0.0191336915811757,0.0232612598548123,0.0330309169382542,0.026344676180022,0.0209450193242738,0.0227492072245967,0.0220764677651576,0.0207035852550076,0.0152973530422826,0.03785084202085,0.0421106909590925,0.0509200907486766,0.051310861423221,0.0625909752547307,0.0648298217179903,0.0456663560111836,0.0761548064918851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.22989193625607,1.34356,0.84365,0.858861862055617,0.83152,1.096,0.37334,0.72851,0.08953,0.59084,0.12908,0.1861,0.1722,-0.66526,-0.66612,-0.1785,-0.17447,0.18474,0.184739401334886,0.02268,-1.0613,-1.09312971074543,-0.66203,-1.74701,-0.72455,0.34,0.44508,0.55493,0.76065,0.63923,0.464800004028267,0.45833,0.39884,0.26282,0.25797,0.345,0.36,0.295,0.22,0.0875,0.075,0.17376,0.22761
,EPSDiluted,-1.22989193625607,1.34356,0.84365,0.858252740167634,0.83152,1.096,0.37334,0.72851,0.08953,0.59084,0.12908,0.1861,0.1722,-0.66526,-0.66612,-0.1785,-0.17447,0.18474,0.179347728537325,0.02268,-1.0613,-1.06193095781181,-0.66203,-1.74701,-0.72455,0.34,0.44508,0.55493,0.76065,0.63923,0.230839693951635,0.45833,0.39884,0.26282,0.25797,0.31,0.32,0.29,0.22,0.0875,0.075,0.17376,0.22761
,weightedAverageShsOut,58484000.0,58943000.0,59544000.0,61996000.0,65098000.0,66027000.0,66389000.0,66194000.0,65767000.0,65291000.0,63794000.0,63213000.0,63300000.0,61439000.0,61400000.0,60573000.0,61900000.0,54087000.0,54087000.0,51551000.0,52200000.0,50682000.0,92380555.0,243511111.0,50100000.0,50944118.0,52800000.0,53700000.0,49300000.0,41300000.0,36144578.0,36000000.0,34600000.0,46800000.0,34500000.0,34380000.0,34240000.0,34240000.0,34176000.0,24576000.0,25200000.0,28200000.0,26800000.0
,weightedAverageShsOutDil,58484000.0,58943000.0,59544000.0,62040000.0,65098000.0,66027000.0,66389000.0,66194000.0,65767000.0,65291000.0,63794000.0,63213000.0,63300000.0,61439000.0,61400000.0,60573000.0,61900000.0,54087000.0,55713000.0,51551000.0,52200000.0,52171000.0,92380555.0,243511111.0,50100000.0,50944118.0,52800000.0,53700000.0,49300000.0,41300000.0,72777778.0,36000000.0,34600000.0,46800000.0,34500000.0,34380000.0,34240000.0,34240000.0,34176000.0,24576000.0,25200000.0,28200000.0,26800000.0
