date,,2021-01-31_FY,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2008-01-31_FY,2007-02-03_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-02-01_FY,2002-02-02_FY,2001-02-03_FY,2000-01-29_FY,1999-01-30_FY,1998-01-31_FY,1997-02-01_FY,1996-02-03_FY,1995-01-28_FY,1994-01-31_FY,1993-01-31_FY,1992-01-31_FY,1991-01-31_FY,1990-01-31_FY,1989-01-31_FY,1988-01-31_FY,1987-01-31_FY,1986-10-31_FY,1985-10-31_FY
,EBITDA,-85606000.0,-517110958.356,169375000.0,62912000.0,191753000.0,152123000.0,175895000.0,181033000.0,153900000.0,116400000.0,93600000.0,123000000.0,82600000.0,85000000.0,146400000.0,147950000.0,149900000.0,129000000.0,95700000.0,102553000.0,100000000.0,38700000.0,91500000.0,89800000.0,80600000.0,45900000.0,69600000.0,33100000.0,85500000.0,49800000.0,58800000.0,65300000.0,91200000.0,91100000.0,89400000.0,108700000.0,1406500000.0,101400000.0,115300000.0
,EBITDARatio,-0.0404360743858257,-0.24425784615341,0.0579741248003636,0.0221923871702378,0.0688376297394011,0.0589763928497768,0.0682443364126281,0.0703940453604976,0.0612391070789065,0.0448019706708749,0.0362397398172526,0.0491194441116569,0.0368421052631579,0.0373402824331104,0.0620365269714818,0.0626930953693553,0.0606661540329435,0.0562802670040574,0.0492841693274282,0.0559754119298644,0.0543065059194091,0.0220412347647796,0.0543058935248383,0.0563893249607535,0.0523886902827429,0.0292879019908116,0.0456363517146417,0.022735077958651,0.0584975369458128,0.0311678558017274,0.0328271549799017,0.037793726125709,0.0517065426919152,0.0500411974732216,0.0523848587835462,0.0647640610104862,1.0,0.0724182259677189,0.0823512606242411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-102440000.0,-517111000.0,103813000.0,215000.0,127683000.0,95992000.0,124456000.0,129418000.0,98600000.0,61600000.0,34500000.0,72700000.0,31500000.0,30127000.0,95700000.0,95682000.0,108100000.0,88600000.0,63800000.0,77081000.0,75100000.0,12000000.0,67500000.0,64300000.0,53700000.0,19200000.0,43700000.0,9300000.0,63400000.0,27000000.0,30400000.0,35200000.0,62600000.0,63100000.0,62900000.0,81400000.0,1406500000.0,75500000.0,91000000.0
,operatingIncomeRatio,-0.0483876300736395,-0.244257865823993,0.0355333893307758,7.58418623092754e-05,0.04583706684128,0.0372150293015242,0.0482868593909437,0.050323734139438,0.0392344116827822,0.0237096339632809,0.0133575964070002,0.0290323868855078,0.014049955396967,0.0132347139866155,0.0405525657866859,0.0405447837183552,0.043749241167186,0.0386545089655774,0.0328561128849521,0.0420723014145454,0.0407841859454763,0.00683449139993166,0.0400617247314381,0.0403767660910518,0.0349041273968151,0.0122511485451761,0.0286538587633598,0.00638780135998352,0.0433771209633279,0.0168982350732257,0.0169718624385887,0.0203727283250376,0.0354915523301962,0.0346608074704751,0.0368569084729872,0.0484985700667302,1.0,0.0539208684473647,0.0649953574744661
,totalOtherIncomeExpensesNet,-366384000.0,16834000.0,7903000.0,12308000.0,12348000.0,14993000.0,0.0,775000.0,0.0,0.0,0.0,0.0,0.0,-203428000.0,0.0,-439000.0,0.0,0.0,0.0,-3107000.0,-1800000.0,-700000.0,1400000.0,600000.0,1600000.0,500000.0,1700000.0,200000.0,10800000.0,-21200000.0,-8500000.0,3100000.0,4200000.0,4200000.0,2500000.0,5300000.0,0.0,4200000.0,4900000.0
,incomeBeforeTax,-517111000.0,-517111000.0,78593000.0,-5754000.0,122706000.0,97254000.0,108766000.0,110127000.0,77700000.0,38500000.0,9100000.0,53200000.0,11700000.0,-188606000.0,83800000.0,83812000.0,93400000.0,71100000.0,56300000.0,64655000.0,61500000.0,-5700000.0,52400000.0,51800000.0,37600000.0,-2200000.0,27200000.0,-4700000.0,60000000.0,-11800000.0,5100000.0,22400000.0,48600000.0,46500000.0,48400000.0,74100000.0,0.0,69800000.0,88300000.0
,incomeBeforeTaxRatio,-0.244257865823993,-0.244257865823993,0.0269010207553357,-0.00202973988710498,0.0440503678941292,0.0377042926461626,0.0421994001776964,0.0428224966355058,0.0309179897337949,0.0148185212270505,0.00352330803778845,0.0212451579409768,0.0052185548617306,-0.0828541330421084,0.0355099792364083,0.0355149287536087,0.0377999919057833,0.0310195890231665,0.0289937171696364,0.0352899501557768,0.0333985011404366,-0.00324638341496754,0.0310997685322571,0.0325274725274725,0.0244393890152746,-0.0014037774374681,0.0178348960723887,-0.00322824369805619,0.0410509031198686,-0.00738515458755789,0.0028472532380527,0.0129644634795694,0.0275541444608232,0.0255424333974183,0.0283604828313606,0.0441491897044805,0.0,0.0498500214255106,0.0630669237911578
,incomeTaxExpense,-78117000.0,78117000.0,16511000.0,-273000.0,35475000.0,31168000.0,26942000.0,27184000.0,23758000.0,11343000.0,326000.0,12265000.0,10349000.0,-53793000.0,-23483000.0,23483000.0,-27719000.0,-30147000.0,-12982000.0,17761000.0,16300000.0,-6600000.0,16000000.0,16300000.0,13900000.0,18700000.0,6900000.0,-5400000.0,26400000.0,-5100000.0,400000.0,6700000.0,16800000.0,15700000.0,18300000.0,27200000.0,0.0,29700000.0,39500000.0
,netIncome,-439114000.0,-595228000.0,62819000.0,-5441000.0,87200000.0,65658000.0,81479000.0,82850000.0,38100000.0,27500000.0,24600000.0,37200000.0,9500000.0,-133238000.0,60400000.0,60427000.0,65700000.0,41000000.0,43300000.0,46894000.0,45200000.0,-4000000.0,36400000.0,35500000.0,23700000.0,-20900000.0,20300000.0,3300000.0,39400000.0,-31600000.0,4700000.0,15700000.0,31800000.0,30800000.0,26200000.0,46900000.0,0.0,40100000.0,47100000.0
,netIncomeRatio,-0.207415909724289,-0.281156504036239,0.0215018541451456,-0.00191932824569659,0.0313040281678815,0.0254548753425231,0.0316124977205976,0.0322159311181786,0.0151605586725558,0.0105846580193218,0.00952454700325229,0.0148556367557206,0.00423728813559322,-0.0585311123626207,0.0255943048434256,0.0256056483533899,0.0265895018009632,0.0178875267222198,0.0222988979297559,0.0255956526580311,0.0245465406755729,-0.00227816379997722,0.0216036560033236,0.0222919937205651,0.0154046148846279,-0.0133358856559469,0.0133106025834372,0.00226663919225221,0.0269567597153804,-0.0197771936412567,0.00262393925859759,0.00908669984951962,0.0180292550175757,0.0169184290030211,0.0153521621938357,0.027943279313632,0.0,0.0286387658905871,0.0336404542532676
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-11.8,-16.2790723115633,1.57627,-0.1303,2.07718,1.55658,1.91014,1.9,0.91367,0.67402,0.58993,0.87529,0.22837,-3.21,1.36961,1.4,1.50688,0.96471,1.02364,1.177778,1.11881,-0.10127,0.90547,0.8701,0.58663,-0.528889,0.50877,0.08312,0.99244,-0.814148,0.12012,0.409298,0.823045,0.791902,0.676231,1.170058,0.96096,0.965409,1.058836
,EPSDiluted,-11.8,-16.2790723115633,1.57627,-0.1303,2.07718,1.55658,1.91014,1.89,0.91367,0.67402,0.58993,0.87529,0.22837,-3.21,1.36961,1.37,1.50688,0.96471,1.02364,1.12,1.11881,-0.10127,0.90547,0.8701,0.58663,-0.528889,0.50877,0.08312,0.99244,-0.814148,0.12012,0.409298,0.823045,0.791902,0.676231,1.170058,0.96096,0.965409,1.058836
,weightedAverageShsOut,37220000.0,36564000.0,39853000.0,41756000.0,41980000.0,42181000.0,42656000.0,42071000.0,41700000.0,40800000.0,41700000.0,42500000.0,41600000.0,41525000.0,44100000.0,43162143.0,43600000.0,42500000.0,42300000.0,39815660.0,40400000.0,39500000.0,40200000.0,40800000.0,40400000.0,39516807.0,39900000.0,39700000.0,39700000.0,38813582.0,39127539.0,38358360.0,38637013.0,38893701.0,38744157.0,40083483.0,40504486.0,41536799.0,44482809.0
,weightedAverageShsOutDil,37220000.0,36564000.0,39853000.0,41756000.0,41980000.0,42181000.0,42656000.0,42274000.0,41700000.0,40800000.0,41700000.0,42500000.0,41600000.0,41525000.0,44100000.0,44107299.0,43600000.0,42500000.0,42300000.0,41869643.0,40400000.0,39500000.0,40200000.0,40800000.0,40400000.0,39516807.0,39900000.0,39700000.0,39700000.0,38813582.0,39127539.0,38358360.0,38637013.0,38893701.0,38744157.0,40083483.0,40504486.0,41536799.0,44482809.0
