Date,2018-12-30,2017-12-31,2016-12-25,2015-12-27,2014-12-28,2013-12-29,2012-12-30,2012-11-10,2012-11-04,2012-08-09,2012-05-10,2012-05-09,2012-03-02,2012-03-01,2011-12-25,2011-11-10,2011-11-04,2011-08-09,2011-05-10,2011-05-09,2011-03-02,2011-03-01,2010-12-31,2010-11-10,2010-11-04,2010-08-09,2010-05-10,2010-05-09,2010-03-02,2010-03-01
Income Tax Expense,-2195000.0,4643000.0,4443000.0,3466000.0,2748000.0,-204000.0,-15994000.0,,,,,-15994000.0,,,537000.0,,,,,537000.0,,,773000.0,,,,,773000.0,,
Net Income - Non-Controlling int,329000.0,266000.0,224000.0,114000.0,-14000.0,32000.0,-34000.0,-34000.0,-34000.0,0.0,0.0,-34000.0,0.0,0.0,-34000.0,0.0,0.0,0.0,0.0,-34000.0,0.0,0.0,-34000.0,0.0,0.0,0.0,0.0,-34000.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-8878000.0,-6956000.0,8212000.0,5628000.0,4358000.0,1258000.0,24046000.0,,,,,24046000.0,,,7165000.0,,,,,7165000.0,,,-530000.0,,,,,-530000.0,,
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,64951000.0,10495000.0,10495000.0,10495000.0,17410000.0,17410000.0,10495000.0,17410000.0,17410000.0,10495000.0,17410000.0,17410000.0,17410000.0,17410000.0,10495000.0,45992000.0,45992000.0,10495000.0,45992000.0,45992000.0,45992000.0,45992000.0,10495000.0,45992000.0,45992000.0
Net Income Com,-8878000.0,-6956000.0,8212000.0,5628000.0,4358000.0,-63693000.0,13551000.0,,,,,13551000.0,,,-10245000.0,,,,,-10245000.0,,,-46522000.0,,,,,-46522000.0,,
EPS,-0.35,-0.28,0.32,0.2,0.15,-6.29,0.72,,,,,0.72,,,-2.35,,,,,-2.35,,,-9.34,,,,,-9.34,,
EPS Diluted,-0.35,-0.28,0.31,0.2,0.14,-6.29,0.66,,,,,0.66,,,-2.35,,,,,-2.35,,,-9.34,,,,,-9.34,,
Weighted Average Shs Out,24844824.0,24804265.0,25189544.0,30297871.0,28965043.0,29137706.0,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Shs Out (Dil),25173171.0,25045427.0,25623809.0,28002005.0,29209298.0,10132805.0,4013414.0,4013414.0,4013414.0,4359930.0,4359930.0,4013414.0,4359930.0,4359930.0,4013414.0,4359930.0,4359930.0,4359930.0,4359930.0,4013414.0,4978621.0,4978621.0,4013414.0,4978621.0,4978621.0,4978621.0,4978621.0,4013414.0,4978621.0,4978621.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.7372,0.7351,0.7273,0.7167,0.7135,0.7085,0.7096,,,,,0.7096,,,0.7122,,,,,0.7122,,,0.7143,,,,,0.7143,,
EBITDA Margin,0.029,0.055,0.087,0.083,0.082,0.064,0.09,0.09,0.09,0.097,0.097,0.09,0.097,0.097,0.09,0.097,0.097,0.097,0.097,0.09,0.074,0.074,0.09,0.074,0.074,0.074,0.074,0.09,0.074,0.074
EBIT Margin,-0.0259,-0.0051,0.0314,0.025,0.0223,0.0048,0.0313,,,,,0.0313,,,0.0344,,,,,0.0344,,,0.0035,,,,,0.0035,,
Profit Margin,-0.021,-0.016,0.02,0.015,0.013,-0.213,0.049,0.049,0.049,-0.043,-0.043,0.049,-0.043,-0.043,0.049,-0.043,-0.043,-0.043,-0.043,0.049,-0.211,-0.211,0.049,-0.211,-0.211,-0.211,-0.211,0.049,-0.211,-0.211
Free Cash Flow margin,0.0227,0.0167,0.0227,0.0123,-0.0081,0.0059,-0.0031,,,,,-0.0031,,,0.0099,,,,,0.0099,,,0.0568,,,,,0.0568,,
EBITDA,12211000.0,23491000.0,35523000.0,30791000.0,26900000.0,19316000.0,24812000.0,,,,,24812000.0,,,23035000.0,,,,,23035000.0,,,16409000.0,,,,,16409000.0,,
EBIT,-10931000.0,-2189000.0,12789000.0,9315000.0,7285000.0,1441000.0,8593000.0,8593000.0,8593000.0,8197000.0,8197000.0,8593000.0,8197000.0,8197000.0,8593000.0,8197000.0,8197000.0,8197000.0,8197000.0,8593000.0,762000.0,762000.0,8593000.0,762000.0,762000.0,762000.0,762000.0,8593000.0,762000.0,762000.0
Consolidated Income,-8549000.0,-6690000.0,8436000.0,5742000.0,4344000.0,1290000.0,24012000.0,,,,,24012000.0,,,7165000.0,,,,,7165000.0,,,-530000.0,,,,,-530000.0,,
Earnings Before Tax Margin,-0.0262,-0.0054,0.0311,0.0244,0.0217,0.0035,0.0293,,,,,0.0293,,,0.0324,,,,,0.0324,,,0.0011,,,,,0.0011,,
Net Profit Margin,-0.021,-0.0162,0.0202,0.0151,0.0133,0.0042,0.0875,,,,,0.0875,,,0.0301,,,,,0.0301,,,-0.0024,,,,,-0.0024,,
